,terms,freq
1655,flow,2
1656,fluids,2
1657,fluoroquinolone,1
1658,fnc,1
1659,focus,9
1660,focused,8
1661,focuses,5
1662,focusing,2
1663,fold,2
1664,follow,1
1665,followed,7
1666,following,15
1667,follows,3
1668,followup,9
1669,food,8
1670,forced,1
1671,forefront,1
1672,foreign,5
1673,foreignmade,2
1674,foremost,1
1675,form,4
1676,formaldehyde,1
1677,format,1
1678,formation,1
1679,formed,1
1680,formidable,1
1681,forming,1
1682,forms,1
1683,formula,1
1684,formulafed,2
1685,formulation,5
1686,formulations,1
1687,forsaken,1
1688,found,21
1689,four,10
1690,fourfold,1
1691,fourth,2
1692,fpv,1
1693,frailty,2
1694,frame,3
1695,framework,5
1696,free,3
1697,freeofcharge,1
1698,frequencies,5
1699,frequency,9
1700,frequent,5
1701,frequently,5
1702,frontline,1
1703,frontrunners,1
1704,fulfilled,2
1705,full,2
1706,fulllength,2
1707,fulltext,2
1708,fully,7
1709,fumarate,14
1710,function,8
1711,functional,8
1712,functions,7
1713,fundamental,1
1714,funded,1
1715,funding,3
1716,fungal,1
1717,furthermore,4
1718,futility,2
1719,future,19
1720,g,6
1721,ga,1
1722,gain,2
1723,gamaleya,1
1724,gamma,2
1725,gaps,1
1726,garlic,1
1727,gather,1
1728,gc,1
1729,genclip,1
1730,gender,2
1731,genderbased,1
1732,genderdisaggregated,1
1733,gendered,1
1734,gene,8
1735,genebased,3
1736,general,10
1737,generalized,1
1738,generally,4
1739,generate,5
1740,generated,2
1741,generations,1
1742,generic,2
1743,genes,2
1744,genetic,1
1745,geneva,2
1746,genome,7
1747,genomes,1
1748,genomic,1
1749,genotype,2
1750,genotypes,6
1751,genotyping,1
1752,geographic,1
1753,geographically,1
1754,geological,1
1755,geometric,3
1756,gestational,1
1757,get,3
1758,getting,1
1759,ghana,1
1760,ginseng,1
1761,girls,1
1762,give,2
1763,given,21
1764,glabra,3
1765,glaxosmithkline,1
1766,global,35
1767,globally,5
1768,globe,4
1769,globulin,3
1770,glomerulonephritis,2
1771,glucocorticoid,1
1772,glucocorticoids,2
1773,glycan,1
1774,glycoprotein,5
1775,glycoproteins,1
1776,glycosylation,1
1777,glycyrrhiza,2
1778,gmc,11
1779,go,2
1780,goal,9
1781,goals,5
1782,going,1
1783,goldstandard,1
1784,good,4
1785,google,4
1786,government,4
1787,governments,1
1788,governorate,1
1789,gprotein,1
1790,grade,6
1791,grades,1
1792,grading,2
1793,gradually,2
1794,granzyme,1
1795,graph,1
1796,great,10
1797,greater,13
1798,greatest,2
1799,green,1
1800,gross,2
1801,groundbreaking,1
1802,grounds,1
1803,group,58
1804,grouped,1
1805,groups,22
1806,growing,3
1807,growth,3
1808,guangxi,1
1809,guaranteed,1
1810,guardians,2
1811,guidance,2
1812,guide,4
1813,guideline,3
1814,guidelines,21
1815,guiding,1
1816,h,3
1817,haematological,1
1818,half,4
1819,halt,1
1820,hamper,1
1821,hamster,1
1822,harboured,1
1823,harm,1
1824,harmful,2
1825,harness,1
1826,hav,2
1827,havoc,1
1828,hazard,1
1829,hb,27
1830,hbc,3
1831,hbcab,2
1832,hbcabs,3
1833,hbcrag,17
1834,hbd,7
1835,hbeag,17
1836,hbeagpositive,4
1837,hbig,3
1838,hbm,2
1839,hbo,3
1840,hbs,5
1841,hbsab,16
1842,hbsabseronegative,4
1843,hbsabseropositive,2
1844,hbsag,57
1845,hbsagcoated,1
1846,hbsagnegative,2
1847,hbsagpla,4
1848,hbsagpositive,7
1849,hbv,292
1850,hbvac,8
1851,hbvaccine,1
1852,hbvaccinecoverage,1
1853,hbvcured,1
1854,hbvdna,2
1855,hbvinfected,5
1856,hbviss,1
1857,hbvmediated,1
1858,hbvmonoinfected,1
1859,hbvrelated,3
1860,hbvspecific,1
1861,hbvtargeting,1
1862,hbx,2
1863,hbxis,5
1864,hcart,6
1865,hcc,36
1866,hcmv,2
1867,hcq,18
1868,hcv,26
1869,hcvassociated,1
1870,hcws,9
1871,hdc,5
1872,hdv,2
1873,headache,1
1874,headings,2
1875,health,74
1876,healthcare,25
1877,healthfacility,1
1878,healthy,17
1879,hearing,3
1880,heart,4
1881,hearts,1
1882,heavy,2
1883,held,1
1884,helicase,1
1885,help,6
1886,helpful,2
1887,hematologic,1
1888,hematological,1
1889,hematopoietic,2
1890,hence,2
1891,hepa,1
1892,hepadnaviral,1
1893,hepadnaviridae,1
1894,hepadnaviruses,2
1895,heparin,4
1896,heparins,2
1897,hepatectomy,3
1898,hepatidities,1
1899,hepatitis,30
1900,hepatitis b,277
1901,hepatitisbinfected,2
1902,hepatitisbrelated,6
1903,hepatitisbvaccine,1
1904,hepatitisbx,1
1905,hepatocellular,18
1906,hepatocyte,2
1907,hepatocytes,5
1908,hepatocytetransplanted,1
1909,hepatotoxicity,1
1910,hepatotropic,2
1911,hepb,11
1912,hepbalum,8
1913,hepbbd,11
1914,hepbcpg,13
1915,hepcpg,1
1916,heplisav,1
1917,heplisavb,39
1918,heralded,1
1919,herb,2
1920,herbal,6
1921,herbs,3
1922,herd,1
1923,herein,3
1924,herpes,1
1925,hesitancy,11
1926,hesitant,1
1927,heterogeneity,2
1928,heterogeneous,1
1929,hev,5
1930,high,67
1931,highdose,1
1932,higher,56
1933,highest,7
1934,highimpact,1
1935,highincome,1
1936,highlevel,3
1937,highlight,8
1938,highlighted,2
1939,highlighting,1
1940,highlights,4
1941,highly,9
1942,highquality,1
1943,highresponse,2
1944,highrisk,6
1945,hinges,1
1946,histology,1
1947,historical,3
1948,historically,1
1949,history,9
1950,hiv,18
1951,hivexposed,3
1952,hivinfected,9
1953,hivnegative,4
1954,hivpositive,9
1955,hivseropositive,1
1956,hla,1
1957,hold,1
1958,home,5
1959,homeostasis,1
1960,homoharringtonine,1
1961,hope,4
1962,hopefully,1
1963,hoping,1
1964,hopkins,1
1965,horizontal,2
1966,horse,1
1967,hospital,22
1968,hospitalisation,4
1969,hospitalised,4
1970,hospitalization,1
1971,hospitalizations,2
1972,hospitalized,3
1973,hospitals,3
1974,host,7
1975,hour,1
1976,hours,8
1977,household,2
1978,households,1
1979,however,40
1980,hpv,2
1981,hr,4
1982,https,2
1983,hua,1
1984,hub,2
1985,huge,2
1986,human,33
1987,humanized,1
1988,humans,9
1989,humoral,5
1990,hundred,4
1991,hurdle,2
1992,hyaline,1
1993,hydrophilicity,1
1994,hydroxychloroquine,12
1995,hygiene,3
1996,hyperbaric,1
1997,hypercoagulability,1
1998,hypercoagulation,1
1999,hypericum,1
2000,hyperimmune,1
2001,hyperinflammation,2
2002,hyperinflammatory,3
2003,hyperpermeability,1
2004,hyperplastic,2
2005,hypersensitivity,1
2006,hypertension,2
2007,hypoglycemia,1
2008,hyporesponsive,1
2009,hyporesponsiveness,1
2010,hypotheses,1
2011,hypothesis,4
2012,hypothesized,2
2013,hypoxemia,2
2014,ia,3
2015,ibd,12
2016,ibdspecific,1
2017,ic,2
2018,icc,3
2019,icer,1
2020,icers,4
2021,idc,1
2022,idcs,1
2023,ide,8
2024,idea,2
2025,ideally,2
2026,ideas,1
2027,identification,2
2028,identified,28
2029,identifier,1
2030,identify,13
2031,identifying,1
2032,identity,1
2033,ie,4
2034,ifn,22
2035,ifng,1
2036,ifngamma,2
2037,ifnmediated,2
2038,ifns,2
2039,igaspecific,1
2040,igg,7
2041,igga,1
2042,iggfc,1
2043,igm,1
2044,iguesterin,1
2045,ii,9
2046,iii,10
2047,iinduced,1
2048,il,14
2049,ilb,1
2050,ilbeta,1
2051,ill,1
2052,illness,7
2053,illnesses,2
2054,illustrates,1
2055,im,3
2056,imaging,1
2057,imatinib,1
2058,imbalance,3
2059,immature,1
2060,immediate,1
2061,immediately,5
2062,imminent,1
2063,immune,55
2064,immunemediated,1
2065,immuneresponse,1
2066,immunetolerant,2
2067,immunisation,2
2068,immunisations,1
2069,immunity,22
2070,immunization,30
2071,immunize,1
2072,immunized,2
2073,immunoassay,2
2074,immunodeficiency,3
2075,immunodeficient,1
2076,immunogenic,1
2077,immunogenicity,15
2078,immunoglobulin,6
2079,immunoglobulins,2
2080,immunohistochemistry,1
2081,immunoinformatic,2
2082,immunological,10
2083,immunology,1
2084,immunomodulating,2
2085,immunomodulation,1
2086,immunomodulators,2
2087,immunomodulatory,6
2088,immunopathological,1
2089,immunopathology,1
2090,immunoprophylaxis,7
2091,immunosuppressants,3
2092,immunosuppressed,1
2093,immunosuppression,5
2094,immunosuppressive,7
2095,immunotherapeutics,2
2096,immunotherapy,2
2097,impact,15
2098,impacts,6
2099,impaired,2
2100,impairment,1
2101,impending,1
2102,implement,2
2103,implementation,10
2104,implemented,5
2105,implementing,1
2106,implicated,1
2107,implication,2
2108,implications,2
2109,implying,1
2110,importance,8
2111,important,27
2112,imposed,2
2113,improve,12
2114,improved,12
2115,improvement,6
2116,improvements,1
2117,improves,3
2118,improving,3
2119,inactivated,6
2120,inactivation,1
2121,inadequate,1
2122,inc,3
2123,inception,3
2124,incidence,19
2125,incident,2
2126,include,6
2127,included,40
2128,includes,2
2129,including,45
2130,inclusion,6
2131,income,5
2132,incomplete,1
2133,inconclusive,3
2134,inconsistency,1
2135,inconvenience,1
2136,incorporation,1
2137,increase,16
2138,increased,28
2139,increases,1
2140,increasing,12
2141,increasingly,1
2142,incremental,5
2143,incubation,1
2144,incurable,1
2145,indeed,1
2146,indefinite,1
2147,independent,11
2148,independently,3
2149,indepth,1
2150,indeterminate,3
2151,index,2
2152,indexes,1
2153,india,3
2154,indicate,9
2155,indicated,8
2156,indicates,1
2157,indicating,3
2158,indication,1
2159,indications,3
2160,indicators,1
2161,indinavir,1
2162,indirectly,2
2163,indispensable,2
2164,individual,7
2165,individuals,21
2166,indonesia,2
2167,induce,2
2168,induced,5
2169,inducer,1
2170,induces,2
2171,induction,2
2172,inductive,1
2173,industry,1
2174,ineffective,1
2175,inequalities,2
2176,inequities,2
2177,inexpensive,2
2178,infancy,4
2179,infant,18
2180,infants,52
2181,infarction,2
2182,infect,1
2183,infected,27
2184,infection,187
2185,infectioninduced,1
2186,infections,30
2187,infectionspecific,1
2188,infectious,11
2189,infectiveness,1
2190,infectivity,4
2191,infects,3
2192,inferential,1
2193,inferred,1
2194,infiltrate,1
2195,infiltration,1
2196,inflammation,5
2197,inflammatory,18
2198,inflicted,1
2199,infliximab,2
2200,influence,5
2201,influenced,5
2202,influences,1
2203,influencing,3
2204,influenza,3
2205,inform,4
2206,information,23
2207,informed,2
2208,infrastructure,1
2209,infrequent,1
2210,inherent,1
2211,inhibit,4
2212,inhibited,1
2213,inhibiting,2
2214,inhibition,3
2215,inhibitor,1
2216,inhibitors,4
2217,inhospital,1
2218,initial,15
2219,initially,5
2220,initiated,1
2221,initiation,8
2222,initiatives,1
2223,inject,2
2224,injected,1
2225,injecting,1
2226,injection,9
2227,injections,1
2228,injuries,2
2229,injury,4
2230,innate,4
2231,innovative,1
2232,inpatient,1
2233,inpatients,1
2234,inprocess,1
2235,insertion,1
2236,insight,3
2237,insights,1
2238,instance,1
2239,instances,1
2240,instead,2
2241,instill,1
2242,institution,1
2243,institutional,2
2244,institutions,2
2245,instrumental,1
2246,insufficiency,1
2247,insufficient,1
2248,insurance,1
2249,integrations,1
2250,intend,1
2251,intended,1
2252,intensified,1
2253,intensive,2
2254,intent,5
2255,intention,3
2256,interaction,9
2257,interactions,12
2258,interest,6
2259,interestingly,3
2260,interfere,1
2261,interference,1
2262,interfering,1
2263,interferon,9
2264,interferongamma,1
2265,interferongammamediated,1
2266,interferons,3
2267,interferonstimulated,1
2268,interim,11
2269,interleukin,3
2270,intermediate,1
2271,intermittent,1
2272,international,5
2273,interoperable,1
2274,interplay,1
2275,interpretation,3
2276,interquartile,1
2277,interrupt,1
2278,interruption,1
2279,intersection,1
2280,interstitial,3
2281,interval,14
2282,intervals,2
2283,intervention,6
2284,interventions,20
2285,interviewed,1
2286,interviews,5
2287,intracellular,4
2288,intrahepatic,4
2289,intramuscular,3
2290,intramuscularly,2
2291,intravenous,2
2292,intravenously,2
2293,introduce,1
2294,introduced,4
2295,introduces,1
2296,introduction,11
2297,intubated,1
2298,intubation,2
2299,invading,1
2300,invasive,2
2301,invest,3
2302,investigate,9
2303,investigated,7
2304,investigates,1
2305,investigation,5
2306,investigational,2
2307,investigations,2
2308,investment,1
2309,invitro,1
2310,invivo,1
2311,involve,2
2312,involved,4
2313,involvement,2
2314,involving,2
2315,ionomycin,1
2316,ipd,4
2317,iqr,5
2318,iraq,1
2319,iraqi,1
2320,irish,1
2321,ischaemia,1
2322,ischemic,1
2323,isi,1
2324,isolated,1
2325,isolation,4
2326,isolations,1
2327,isoniazid,1
2328,isotope,1
2329,iss,1
2330,issue,8
2331,issued,7
2332,issues,9
2333,italian,1
2334,italians,1
2335,italy,1
2336,itching,3
2337,items,2
2338,iu,26
2339,iv,4
2340,ivermectin,7
2341,ivermectinrelated,2
2342,ivig,5
2343,jak,1
2344,jan,2
2345,janssen,1
2346,january,10
2347,japan,2
2348,jhu,1
2349,jirovecii,1
2350,john,1
2351,johnsonjohnson,1
2352,joint,1
2353,journal,1
2354,judged,1
2355,july,5
2356,june,6
2357,justification,2
2358,justified,2
2359,justify,2
2360,kaiser,1
2361,kampala,1
2362,kb,1
2363,keeps,1
2364,kegg,2
2365,kenya,1
2366,kerala,2
2367,key,7
2368,kg,2
2369,kidney,15
2370,kidneys,2
2371,killed,1
2372,killer,1
2373,kinase,2
2374,kinds,1
2375,kinetics,1
2376,kingdom,1
2377,know,1
2378,knowledge,8
2379,known,11
2380,korea,2
2381,kpa,1
2382,l,14
2383,lab,1
2384,label,1
2385,labeling,1
2386,laboratory,3
2387,laboratoryconfirmed,1
2388,labs,1
2389,lack,14
2390,lacking,2
2391,lactating,1
2392,lamivudine,9
2393,landscape,2
2394,language,3
2395,large,10
2396,largely,3
2397,larger,4
2398,largesample,1
2399,largescale,1
2400,largest,2
2401,laryngoscope,1
2402,last,7
2403,lastmile,1
2404,late,4
2405,later,6
2406,latest,1
2407,latestage,1
2408,latin,1
2409,launched,2
2410,layperson,1
2411,lead,11
2412,leaders,2
2413,leadership,1
2414,leading,12
2415,leads,2
2416,leaning,2
2417,learn,1
2418,learned,2
2419,least,16
2420,led,9
2421,ledipasvir,1
2422,length,1
2423,lenvervimab,1
2424,leone,1
2425,lesion,1
2426,lesions,6
2427,less,12
2428,lessons,3
2429,leukaemia,2
2430,leukemia,6
2431,leukocytemediated,1
2432,leukopenia,1
2433,level,13
2434,levels,55
2435,lexicomp,1
2436,lhqw,10
2437,lhqwcomponent,1
2438,lhqwpin,1
2439,lhqwproteins,1
2440,lian,1
2441,library,1
2442,licensed,2
2443,licensure,2
2444,lieu,1
2445,life,6
2446,lifecycle,1
2447,lifesaving,1
2448,lifethreatening,2
2449,lifetime,2
2450,lifeyears,1
2451,ligands,1
2452,light,2
2453,like,3
2454,likelihood,4
2455,likely,22
2456,limit,3
2457,limitations,3
2458,limited,15
2459,limits,3
2460,line,3
2461,link,1
2462,linked,2
2463,lipid,5
2464,lipids,1
2465,liposomes,1
2466,list,2
2467,listed,1
2468,lists,1
2469,literature,12
2470,literaturebased,1
2471,little,4
2472,live,2
2473,liveattenuated,1
2474,livelihoods,1
2475,liver,71
2476,liverpool,1
2477,livers,1
2478,livertropism,1
2479,lives,6
2480,livevectored,1
2481,living,5
2482,lns,2
2483,load,9
2484,loads,4
2485,local,6
2486,location,1
2487,locations,2
2488,lockdowns,1
2489,log,6
2490,logistic,6
2491,logiu,1
2492,long,4
2493,longitudinal,1
2494,longterm,19
2495,longtime,1
2496,look,1
2497,looked,1
2498,looks,1
2499,lopinavir,8
2500,lopinavirritonavir,1
2501,los,5
2502,loss,16
2503,lost,4
2504,lot,20
2505,lots,5
2506,lottolot,1
2507,low,29
2508,lowcertainty,1
2509,lowcost,1
2510,lower,27
2511,lowered,1
2512,lowerincome,2
2513,lowincome,1
2514,lowinflammation,1
2515,lowlevel,1
2516,lowmedium,1
2517,lowmolecularweight,1
2518,lowresponse,2
2519,lt,1
2520,lung,9
2521,lungs,3
2522,lycorine,1
2523,lymph,2
2524,lymphoblastic,1
2525,lymphocyte,2
2526,lymphocytes,1
2527,lymphocytic,2
2528,lymphoma,3
2529,lymphopenia,1
2530,macrophages,2
2531,maculopapular,1
2532,madagascar,1
2533,made,5
2534,main,18
2535,mainly,4
2536,mainstay,1
2537,maintain,1
2538,maintained,1
2539,maintaining,1
2540,maintenance,2
2541,major,20
2542,majority,6
2543,make,2
2544,makes,2
2545,malaria,1
2546,malawi,1
2547,male,10
2548,males,3
2549,malignancies,4
2550,malignancy,2
2551,manage,2
2552,manageable,1
2553,managed,1
2554,management,19
2555,managing,1
2556,mandates,1
2557,mandatory,1
2558,manifestation,1
2559,manifestations,5
2560,manifests,1
2561,mankind,1
2562,mann,1
2563,manner,1
2564,manual,1
2565,manufacture,1
2566,manufactured,2
2567,manufacturer,1
2568,manufacturing,4
2569,manuscript,1
2570,many,20
2571,map,1
2572,march,6
2573,marginal,3
2574,marked,1
2575,markedly,1
2576,marker,3
2577,markers,12
2578,markov,2
2579,marriageable,1
2580,marrowderived,2
2581,mass,2
2582,massachusetts,1
2583,massive,2
2584,matched,5
2585,matching,1
2586,material,1
2587,materials,7
2588,maternal,10
2589,mathematical,1
2590,matrices,1
2591,matrix,1
2592,matter,2
2593,maturation,3
2594,maximal,1
2595,maximum,1
2596,may,68
2597,mcode,1
2598,mean,22
2599,meaningful,1
2600,means,2
2601,meanwhile,2
2602,measles,1
2603,measure,2
2604,measured,4
2605,measurement,1
2606,measurements,1
2607,measures,11
2608,measuring,2
2609,mechanical,4
2610,mechanism,5
2611,mechanisms,20
2612,media,2
2613,median,13
2614,mediated,2
2615,mediates,1
2616,medica,1
2617,medical,23
2618,medication,5
2619,medications,10
2620,medicinal,3
2621,medicine,7
2622,medicines,1
2623,medium,1
2624,medline,3
2625,meet,1
2626,meeting,1
2627,meld,1
2628,mellitus,1
2629,member,2
2630,members,4
2631,membrane,2
2632,membraneanchored,1
2633,memory,2
2634,men,3
2635,mena,1
2636,menace,1
2637,mental,2
2638,mentions,1
2639,mere,1
2640,meridian,1
2641,merit,1
2642,mers,4
2643,merscov,6
2644,mesenchymal,4
2645,mesh,1
2646,met,5
2647,metaanalysis,11
2648,metagenomic,1
2649,metaregression,1
2650,metazoans,1
2651,method,7
2652,methodical,1
2653,methodological,1
2654,methodology,3
2655,methods,50
2656,methylprednisolone,5
2657,mg,3
2658,mhc,1
2659,mice,10
2660,microangiopathy,1
2661,microbiology,1
2662,microg,3
2663,microl,9
2664,microlisa,1
2665,micromedex,1
2666,microneedle,2
2667,microneedles,2
2668,micronutrients,3
2669,microparticle,1
2670,micrornas,1
2671,microsimulation,1
2672,midaugust,1
2673,middle,5
2674,middleincome,2
2675,middleresponse,1
2676,midst,1
2677,midterm,1
2678,might,14
2679,migration,1
2680,mild,7
2681,mildly,1
2682,mildtomoderate,1
2683,military,1
2684,milk,1
2685,million,18
2686,millions,3
2687,mimicking,1
2688,min,2
2689,minerals,1
2690,minimize,3
2691,minireview,1
2692,ministry,1
2693,minority,2
2694,minus,1
2695,minutes,3
2696,mir,7
2697,mirnas,3
2698,misinterpretation,1
2699,miss,1
2700,missing,1
2701,mistrust,6
2702,mitigate,5
2703,mitigated,1
2704,mitigating,3
2705,mitigation,2
2706,miu,43
2707,mixed,3
2708,mixture,1
2709,ml,66
2710,mm,1
2711,mn,1
2712,mnews,1
2713,mobilized,1
2714,modalities,3
2715,mode,1
2716,model,10
2717,modeled,3
2718,modeling,1
2719,modelling,1
2720,models,3
2721,moderate,8
2722,moderatecertainty,1
2723,modern,1
2724,moderna,8
2725,modernatx,1
2726,modifications,1
2727,modified,1
2728,modulate,1
2729,modulated,1
2730,modulates,1
2731,modulation,2
2732,modulators,2
2733,modules,4
2734,moh,1
2735,molecular,12
2736,molecule,3
2737,molecules,4
2738,moment,1
2739,momentarily,1
2740,monastir,1
2741,monitor,2
2742,monitored,3
2743,monitoring,9
2744,monoclonal,3
2745,monocytes,1
2746,mononuclear,2
2747,monotherapy,10
2748,month,20
2749,monthly,4
2750,months,42
2751,morbidity,13
2752,moreover,9
2753,mortality,37
2754,mostly,2
2755,mother,4
2756,mothers,25
2757,mothertochild,5
2758,mothertochildtransmission,1
2759,mothertoinfant,1
2760,motif,1
2761,motifs,1
2762,moud,5
2763,mouse,6
2764,moved,1
2765,moving,1
2766,mpageb,3
2767,mrna,15
2768,mrnabased,2
2769,msclike,1
2770,mscs,9
2771,mtct,16
2772,much,4
2773,mucolytic,1
2774,mucus,1
2775,mug,24
2776,multicenter,3
2777,multimethods,1
2778,multinational,1
2779,multiorgan,2
2780,multiple,16
2781,multiplechoice,1
2782,multiplelogisticregressionanalysis,1
2783,multitarget,2
2784,multitransfused,2
2785,multivariable,3
2786,multivariableadjusted,2
2787,multivariate,1
2788,mumol,1
2789,must,11
2790,mutation,3
2791,mv,2
2792,myalgia,1
2793,myocardial,2
2794,myriad,3
2795,n,14
2796,nac,8
2797,nacetylcysteine,1
2798,nadir,1
2799,nadirs,1
2800,naive,2
2801,named,4
2802,nanjing,1
2803,nanocapsules,1
2804,nanocarriers,1
2805,nanocomplexation,1
2806,nanocrystals,1
2807,nanomedicines,1
2808,nanoparticleencapsulated,1
2809,nanoparticleformulated,2
2810,nanoparticles,2
2811,nanospheres,1
2812,nanosponges,1
2813,nanostructured,1
2814,nanotechnology,1
2815,nanovaccines,3
2816,nanovesicles,1
2817,narrative,4
2818,narratively,1
2819,narrow,1
2820,nas,28
2821,national,10
2822,nations,2
2823,nationwide,1
2824,natural,9
2825,nature,1
2826,nausea,1
2827,ncov,1
2828,nct,10
2829,nd,8
2830,ndash,4
2831,near,1
2832,nearly,3
2833,necessary,5
2834,necessitating,1
2835,necessity,1
2836,necrosis,2
2837,necrotizing,1
2838,need,21
2839,needed,12
2840,needing,1
2841,needs,4
2842,negativation,1
2843,negative,14
2844,negatively,1
2845,neglected,1
2846,neither,4
2847,neolithic,1
2848,neonatal,2
2849,neonates,1
2850,nervous,1
2851,nested,1
2852,net,2
2853,network,7
2854,networks,1
2855,neurological,2
2856,neuropathy,1
2857,neutralizing,3
2858,nevertheless,2
2859,new,36
2860,newborn,2
2861,newborns,6
2862,newcastleottawa,1
2863,newer,2
2864,newly,2
2865,newness,1
2866,next,2
2867,nextgeneration,1
2868,ng,3
2869,nhl,3
2870,nhs,1
2871,nigella,1
2872,nigeria,2
2873,nine,3
2874,nineteen,1
2875,ninetyone,1
2876,ninetysix,1
2877,ningming,1
2878,nitazoxanide,1
2879,nk,1
2880,nlinked,1
2881,nm,1
2882,nmol,3
2883,nnv,1
2884,node,1
2885,nodes,2
2886,nodosa,4
2887,nonadjuvanted,1
2888,nonallergic,1
2889,nonanaphylaxis,2
2890,nonavailability,1
2891,noncoding,1
2892,noncomplete,2
2893,noncompliance,1
2894,none,3
2895,nonenveloped,1
2896,nonhepatocellular,1
2897,nonhodgkin,1
2898,nonhomogeneous,1
2899,nonindexed,1
2900,noninferior,2
2901,noninferiority,1
2902,noninvasive,2
2903,nonneutralizing,1
2904,nonpharmaceutical,4
2905,nonpregnant,1
2906,nonprotective,3
2907,nonrandomised,2
2908,nonreactive,3
2909,nonresponders,10
2910,nonresponse,2
2911,nonresponsiveness,1
2912,nonrheumatic,3
2913,nonvaccination,3
2914,nonviral,1
2915,nonzero,1
2916,nooks,1
2917,normal,4
2918,normalcy,2
2919,normality,1
2920,north,1
2921,note,1
2922,noted,2
2923,notes,1
2924,notified,2
2925,novavax,1
2926,novel,32
2927,novelty,1
2928,november,2
2929,novo,3
2930,nowadays,1
2931,nr,4
2932,nterminal,1
2933,nuclear,1
2934,nuclei,1
2935,nucleic,4
2936,nucleocapsid,1
2937,nucleocapsids,1
2938,nucleos,4
2939,nucleoside,1
2940,nucleosidemodified,3
2941,nucleot,3
2942,nucleotide,2
2943,nucleotides,1
2944,nucloes,1
2945,number,9
2946,numbers,6
2947,numerical,1
2948,numerous,2
2949,nurse,1
2950,nurseactivated,1
2951,nursedriven,1
2952,nurseled,1
2953,nurseries,1
2954,nurseriesat,1
2955,nursery,5
2956,nurses,2
2957,nursing,5
2958,nutritional,1
2959,nvc,2
2960,ny,1
2961,obesity,3
2962,obi,4
2963,objective,17
2964,objectives,9
2965,observation,3
2966,observational,8
2967,observe,1
2968,observed,18
2969,observerblinded,1
2970,observing,2
2971,obtain,2
2972,obtained,7
2973,obtaining,4
2974,occult,4
2975,occupational,7
2976,occupationrelated,1
2977,occupations,1
2978,occur,3
2979,occurred,3
2980,occurrence,7
2981,occurring,2
2982,occurs,1
2983,october,4
2984,odds,11
2985,offending,1
2986,offer,1
2987,offered,1
2988,offers,4
2989,officials,2
2990,officinale,1
2991,officinalis,1
2992,offlabel,1
2993,often,5
2994,oh,8
2995,oils,1
2996,old,4
2997,older,25
2998,oldest,1
2999,oligonucleotide,1
3000,oligonucleotides,1
3001,oncology,1
3002,one,37
3003,onefifth,1
3004,onefourth,1
3005,ones,2
3006,onethird,1
3007,ongoing,13
3008,online,5
3009,onset,10
3010,ontology,1
3011,ontreatment,1
3012,onward,1
3013,open,1
3014,openlabel,1
3015,opentext,2
3016,operating,2
3017,operation,1
3018,opinion,6
3019,opinions,1
3020,opioid,2
3021,opportunities,1
3022,opportunity,1
3023,optimal,5
3024,optimism,1
3025,optimization,2
3026,optimized,1
3027,option,6
3028,optional,1
3029,options,11
3030,oral,2
3031,order,8
3032,ordering,1
3033,organ,4
3034,organic,1
3035,organisation,1
3036,organization,14
3037,organizations,2
3038,organize,1
3039,organs,5
3040,original,1
3041,originating,1
3042,origins,1
3043,ors,3
3044,oseltamivir,1
3045,others,5
3046,ototoxic,3
3047,ototoxicity,2
3048,outbreak,8
3049,outbreaks,3
3050,outcome,15
3051,outcomes,11
3052,outline,3
3053,outpatient,2
3054,outpatients,1
3055,outprospero,1
3056,output,1
3057,outreach,2
3058,ovarian,3
3059,ovary,1
3060,overall,14
3061,overallvaccinecoverage,1
3062,overcome,2
3063,overview,5
3064,overwhelming,2
3065,ovid,4
3066,oxford,1
3067,oxygen,3
3068,oxygenation,1
3069,oxygenationozonation,1
3070,ozone,13
3071,p,95
3072,pac,3
3073,pace,2
3074,paediatric,1
3075,paid,1
3076,pain,3
3077,paired,1
3078,pairs,2
3079,pairwise,1
3080,panax,1
3081,pancreatic,1
3082,pandemic,63
3083,pandemics,5
3084,panic,1
3085,paniculata,1
3086,papainlike,1
3087,paper,3
3088,papillomavirus,1
3089,parallel,3
3090,parameters,3
3091,paramount,1
3092,parents,9
3093,part,4
3094,partially,1
3095,participant,1
3096,participants,49
3097,participate,3
3098,participated,1
3099,particle,1
3100,particular,7
3101,particularly,6
3102,passage,1
3103,passive,1
3104,passiveactive,1
3105,past,7
3106,patent,1
3107,path,1
3108,pathogen,1
3109,pathogenagnostic,1
3110,pathogenesis,7
3111,pathogenhost,1
3112,pathogenic,1
3113,pathogenicity,1
3114,pathogens,2
3115,pathologic,1
3116,pathological,5
3117,pathologies,1
3118,pathophysiology,2
3119,pathway,9
3120,pathways,4
3121,patient,17
3122,patients,254
3123,pattern,3
3124,patterns,1
3125,pay,4
3126,payer,1
3127,pcdnahbx,1
3128,pcr,4
3129,pcrcovid,1
3130,pde,1
3131,pdsa,1
3132,peak,1
3133,pediatr,1
3134,pediatric,8
3135,pediatricians,1
3136,pediatrics,2
3137,pegifn,10
3138,peginterferonalfa,1
3139,pegylated,4
3140,pennsylvania,1
3141,people,36
3142,peoplebornabroad,1
3143,peptide,1
3144,peptides,1
3145,per,10
3146,perceived,7
3147,percent,1
3148,percentage,5
3149,percentages,2
3150,perception,2
3151,perdose,1
3152,perforatum,1
3153,perform,2
3154,performance,3
