,processed,nonprocessed
356,attractive approach treating covid cell therapy,An attractive approach for treating COVID-19 is cell therapy.
357,cell therapy aims inject new healthy stem cells patients body repair damaged cells tissues,"Cell therapy aims to inject new and healthy stem cells into a patient's body, to repair the damaged cells and tissues."
358,stem cell therapy one studied important approaches treatment covid days,Stem cell therapy is one of the most studied and important approaches in the treatment of COVID-19 these days.
359,significant clinical outcome observed adoptive transfer stem cells specifically mesenchymal stem cells,"The significant clinical outcome was observed by the adoptive transfer of stem cells, specifically mesenchymal stem cells."
360,study reviews characteristics stem cells clinical trials used stem cells treating covid,This study reviews the characteristics of stem cells and clinical trials that have used stem cells in treating COVID-19.
361,rationale management anxiety delirium agitation neglected coronavirus disease covid,"RATIONALE: Management of anxiety, delirium, and agitation cannot be neglected in coronavirus disease (COVID-19)."
362,antipsychotics usually used pharmacological management delirium confusion behavioral disturbances,"Antipsychotics are usually used for the pharmacological management of delirium, and confusion and behavioral disturbances."
363,concurrent use treatments covid antipsychotics consider eventual drugdrug interactions objective systematically review evidencebased available drugdrug interactions covid treatments antipsychotics,The concurrent use of treatments for COVID-19 and antipsychotics should consider eventual drug-drug interactions OBJECTIVE: To systematically review evidence-based available on drug-drug interactions between COVID-19 treatments and antipsychotics.
364,evidence review three databases consulted lexicomp r drug interactions micromedex r solutions drugs interactions liverpool c drug interaction group covid therapies,"EVIDENCE REVIEW: Three databases were consulted: Lexicomp(R) Drug Interactions, Micromedex(R) Solutions Drugs Interactions, and Liverpool(c) Drug Interaction Group for COVID-19 therapies."
365,acquire information qt prolongation torsade de pointes tdp crediblemeds r qtdrugs list searched,"To acquire more information on QT prolongation and Torsade de Pointes (TdP), the CredibleMeds(R) QTDrugs List was searched."
366,authors made recommendation agreed consensus,The authors made a recommendation agreed to by consensus.
367,additionally systematic review drugdrug interactions antipsychotics covid treatment conducted,"Additionally, a systematic review of drug-drug interactions between antipsychotics and COVID-19 treatment was conducted."
368,results main interactions covid drugs antipsychotics risk qtprolongation tdp cytochromes p interactions,"RESULTS: The main interactions between COVID-19 drugs and antipsychotics are the risk of QT-prolongation and TdP, and cytochromes P450 interactions."
369,remdesivir baricinitib anakinra used concomitantly antipsychotics without risk drugdrug interaction except hematological risk clozapine baricinitib,"Remdesivir, baricinitib, and anakinra can be used concomitantly with antipsychotics without risk of drug-drug interaction (except for hematological risk with clozapine and baricinitib)."
370,favipiravir needs caution chlorpromazine quetiapine,Favipiravir only needs caution with chlorpromazine and quetiapine.
371,tocilizumab rather safe use combination antipsychotics,Tocilizumab is rather safe to use in combination with antipsychotics.
372,demanding covid treatments coadministration antipsychotics chloroquine hydroxychloroquine azithromycin lopinavir ritonavir risk qt prolongation tdp cytochromes interactions,"The most demanding COVID-19 treatments for coadministration with antipsychotics are chloroquine, hydroxychloroquine, azithromycin, and lopinavir/ritonavir because of the risk of QT prolongation and TdP and cytochromes interactions."
373,systematic review provides highly probable drug interaction lopinavir ritonavir plus quetiapine ritonavir indinavir plus risperidone,The systematic review provides highly probable drug interaction between lopinavir/ritonavir plus quetiapine and ritonavir/indinavir plus risperidone.
374,conclusions clinicians prescribing antipsychotics aware likely risk drugdrug interaction covid medication may benefit taking account present recommendations use preserve patient safety,CONCLUSIONS: Clinicians prescribing antipsychotics should be aware of the likely risk of drug-drug interaction with COVID-19 medication and may benefit from taking into account present recommendations of use to preserve patient safety.
375,background traditional chinese medicine tcm herbal formula lian hua qing wen lhqw improves results covid treatment,BACKGROUND: The traditional Chinese Medicine (TCM) herbal formula Lian Hua Qing Wen (LHQW) improves the results of COVID-19 treatment.
376,three recent studies analyzed network pharmacology working mechanisms lhqw,Three very recent studies analyzed with network pharmacology some working mechanisms of LHQW.
377,however used techniques also included angiotensin converting enzyme ace sarscov receptor possibly viral entry point alveolar lung cells immune system cytokine storm essential late phase,"However, we used more techniques and also included Angiotensin converting enzyme 2 (ACE2) (a SARS-CoV receptor, possibly the viral entry point in alveolar lung cells) and the immune system, as cytokine storm is essential in the late phase."
378,purpose extensive detailed network pharmacology analysis lhqw treatment mechanism covid,PURPOSE: Extensive detailed Network Pharmacology analysis of the LHQW- treatment mechanism in COVID-19.
379,methods tcmherbmeridian protein interaction network pin lhqw based lhqw herbs meridian information proteinprotein interaction ppi information lhqwcomponent targets,"METHODS: TCM-herb-meridian and protein interaction network (PIN) of LHQW, based on LHQW herbs meridian information and the protein-protein interaction (PPI) information of the LHQW-component targets."
380,hub topological property analyses obtain crucial targets construct crucial lhqwpin,Hub and topological property analyses to obtain crucial targets and construct the crucial LHQW-PIN.
381,functional modules determination using mcode go kegg pathway analysis biological processes pathway enrichment,"Functional modules determination using MCODE, GO and KEGG pathway analysis of biological processes and pathway enrichment."
382,intersection calculations lhqwproteins ace coexpressionproteins,Intersection calculations between the LHQW-proteins and ACE2 co-expression-proteins.
383,results lhqw herbs relationships stomach heart liver spleensystems herbs lung system indicating specific effects lung diseases,"RESULTS: LHQW herbs have relationships to Stomach-, Heart-, Liver- and Spleen-systems, but most (10 of the 13 herbs) to the Lung system, indicating specific effects in lung diseases."
384,crucial lhqw pin scalefree property contains targets ppis thirty functional modules,"The crucial LHQW PIN has the scale-free property, contains 2,480 targets, 160,266 PPIs and thirty functional modules."
385,six modules enriched leukocytemediated immunity interferongammamediated signaling pathway immune response regulating signaling pathway interleukin mediated signaling pathway fc gamma receptormediated phagocytosis go analysis,"Six modules are enriched in leukocyte-mediated immunity, the interferon-gamma-mediated signaling pathway, immune response regulating signaling pathway, interleukin 23 mediated signaling pathway and Fc gamma receptor-mediated phagocytosis (GO analysis)."
386,also enriched cancer immune system viral infection diseases kegg,"These 6 are also enriched in cancer, immune system-, and viral infection diseases (KEGG)."
387,lhqw shared proteins ace coexpression proteins,LHQW shared 189 proteins with ACE2 co-expression proteins.
388,conclusions detailed network analysis shows lhqw herbal tcm treatment modulates inflammatory process exerts antiviral effects repairs lung injury,"CONCLUSIONS: Detailed network analysis shows, that LHQW herbal TCM treatment modulates the inflammatory process, exerts antiviral effects and repairs lung injury."
389,moreover also relieves cytokine storm improves aceexpressiondisordercaused symptoms,"Moreover, it also relieves the ""cytokine storm"" and improves ACE2-expression-disorder-caused symptoms."
390,innovative findings give rational pharmacological basis support treating covid possibly diseases lhqw,These innovative findings give a rational pharmacological basis and support for treating COVID-19 and possibly other diseases with LHQW.
391,aims study hydroxychloroquine lopinavir ritonavir used experimental therapies treat covid first wave pandemic,AIMS OF THE STUDY: Hydroxychloroquine and lopinavir/ritonavir have been used as experimental therapies to treat COVID-19 during the first wave of the pandemic.
392,randomised controlled trials recently shown meaningful benefits two therapies hospitalised patients,Randomised controlled trials have recently shown that there are no meaningful benefits of these two therapies in hospitalised patients.
393,uncertainty remains regarding potential harmful impact therapies early treatments burden health care system,Uncertainty remains regarding the potential harmful impact of these therapies as very early treatments and their burden to the health care system.
394,present study investigated length hospital stay los mortality costs hydroxychloroquine lopinavir ritonavir combination comparison standard care among patients hospitalised coronavirus disease covid,"The present study investigated the length of hospital stay (LOS), mortality, and costs of hydroxychloroquine, lopinavir/ritonavir or their combination in comparison with standard of care among patients hospitalised for coronavirus disease 2019 (COVID-19)."
395,methods retrospective observational cohort study took place geneva university hospitals geneva switzerland n february may,"METHODS: This retrospective observational cohort study took place in the Geneva University Hospitals, Geneva, Switzerland (n = 840) between 26 February and 31 May 2020."
396,demographics treatment regimens comorbidities modified national early warning score mnews admission contraindications covid treatment options assessed,"Demographics, treatment regimens, comorbidities, the modified National Early Warning Score (mNEWS) on admission, and contraindications to COVID-19 treatment options were assessed."
397,outcomes included los inhospital mortality drug los costs,"Outcomes included LOS, in-hospital mortality, and drug and LOS costs."
398,results successful propensity score matching patients treated hydroxychloroquine lopinavir ritonavir combination average additional hospitalisation days confidence interval ci ndash p additional hospitalisation days ci minus ndash p additional hospitalisation days ci ndash p lt respectively compared patients treated standard care,"RESULTS: After successful propensity score matching, patients treated with (1) hydroxychloroquine, (2) lopinavir/ritonavir or (3) their combination had on average 3.75 additional hospitalisation days (95% confidence interval [CI] 1.37&ndash;6.12, p = 0.002), 1.23 additional hospitalisation days (95% CI &minus;1.24 &ndash; 3.51, p = 0.319), and 4.19 additional hospitalisation days (95% CI 1.52&ndash;5.31, p &lt;0.001), respectively, compared with patients treated with the standard of care."
399,neither experimental therapy significantly associated mortality,Neither experimental therapy was significantly associated with mortality.
400,additional hospital days amounted additional days hydroxychloroquine hydroxychloroquine combined lopinavir ritonavir resulting additional cost us ci us ndash,"These additional hospital days amounted to 1010.77 additional days for hydroxychloroquine and hydroxychloroquine combined with lopinavir/ritonavir, resulting in an additional cost of US$ 2,492,214 (95%CI US$ 916,839&ndash;3,450,619)."
401,conclusions prescribing experimental therapies covid associated reduced los might increased pressure put healthcare systems,CONCLUSIONS: Prescribing experimental therapies for COVID-19 was not associated with a reduced LOS and might have increased the pressure put on healthcare systems.
402,health officials scientists warned face threat potentially devastating influenza pandemic,Health officials and scientists have warned that we face the threat of a potentially devastating influenza pandemic.
403,instead midst global coronavirus covid pandemic,"Instead, we are now in the midst of a global coronavirus (COVID-19) pandemic."
404,national international pandemic preparedness plans focused developing vaccines antiviral treatments,National and international pandemic preparedness plans have focused on developing vaccines and antiviral treatments.
405,another way confront covid pandemic future pandemics might treat patients inexpensive widely available generic drugs target host response infection virus,"Another way to confront the COVID-19 pandemic (and future pandemics) might be to treat patients with inexpensive and widely available generic drugs that target the host response to infection, not the virus itself."
406,feasibility idea tested ebola outbreak west africa,The feasibility of this idea was tested during the Ebola outbreak in West Africa in 2014.
407,experience inform approach treating covid patients,This experience should inform our approach to treating COVID-19 patients.
408,could also save lives outbreaks emerging infectious diseases episodes everyday acute critical illness,It could also save lives during outbreaks of other emerging infectious diseases and episodes of everyday acute critical illness.
409,bottom syndromic approach treating acute critical illness shown effective could dramatic impact health equity security throughout world,"If this ""bottom up"" syndromic approach to treating acute critical illness were shown to be effective, it could have a dramatic impact on health, equity and security throughout the world."
410,highlights uncertainty outcome covid driving social economic political distress associated pandemic,"HIGHLIGHTS: Uncertainty about the outcome of COVID-19 is driving the social, economic and political distress associated with the pandemic."
411,treating host response covid inexpensive widely available generic drugs might save lives mitigate distress,Treating the host response to COVID-19 with inexpensive and widely available generic drugs might save lives and mitigate this distress.
412,undertaking research idea require political leadership,Undertaking research on this idea will require political leadership.
413,objective hypothesis purpose review summarize evidencebased data regarding ototoxic effects potential covid therapeutics treat patients suffering sarscov,OBJECTIVE/HYPOTHESIS: The purpose of this review is to summarize evidence-based data regarding the ototoxic effects of potential COVID-19 therapeutics to treat patients suffering from SARS-CoV-2.
414,methods medications investigation novel therapeutics treat covid identified using search term coronavirus therapeutics covid therapeutics sarscov therapeutics clinicaltrialsgov pubmed database,"METHODS: Medications under investigation as novel therapeutics to treat COVID-19 were identified using the search term coronavirus therapeutics, COVID therapeutics, and SARS-CoV-2 therapeutics on ClinicalTrials.gov and the PubMed Database."
415,literature review performed using pubmed database proposed covid therapeutic identify relevant articles,A literature review was performed using the PubMed Database for each proposed COVID-19 therapeutic to identify relevant articles.
416,search criteria included medical subject headings mesh key word search terms ototoxicity vestibulotoxicity hearing disorders vertigo,"Search criteria included Medical Subject Headings (MeSH) and key word search terms for ototoxicity, vestibulotoxicity, hearing disorders, and vertigo."
417,results six proposed covid therapeutics identified possessing ototoxic side effects including chloroquine hydroxychloroquine azithromycin lopinavirritonavir interferon ribavirin ivermectin,"RESULTS: Six proposed COVID-19 therapeutics were identified as possessing ototoxic side effects including chloroquine and hydroxychloroquine, azithromycin, lopinavir-ritonavir, interferon, ribavirin, and ivermectin."
418,conclusions available evidence suggests ototoxic effects may improved mitigated stopping offending agent,CONCLUSIONS: Available evidence suggests that ototoxic effects may be improved or mitigated by stopping the offending agent.
419,recognition hearing loss tinnitus imbalance vertigo therefore crucial facilitate early intervention prevent longterm damage,"Recognition of hearing loss, tinnitus, or imbalance/vertigo is therefore crucial to facilitate early intervention and prevent long-term damage."
420,hospitals consider inclusion audiologic monitoring protocols patients receiving covid therapeutics known ototoxicity especially highrisk patient groups elderly hearing impaired,"Hospitals should consider the inclusion of audiologic monitoring protocols for patients receiving COVID-19 therapeutics with known ototoxicity, especially in high-risk patient groups such as the elderly and hearing impaired."
421,laryngoscope,"Laryngoscope, 131:1626-1632, 2021."
422,covid identified cause acute respiratory disease interstitial alveolar pneumonia affect several organs kidneys heart blood nervous system digestive tract,"Covid-19 has been identified as the cause of acute respiratory disease with interstitial and alveolar pneumonia, but it can affect several organs, such as kidneys, heart, blood, nervous system and digestive tract."
423,diseasecausing agent sarscov binding structure angiotensinconverting enzyme ace receptor enabling entry cells express ace pulmonary alveolar epithelial cells,"The disease-causing agent (Sars-CoV-2) has a binding structure to the angiotensin-converting enzyme 2 (ACE2) receptor, enabling entry into cells that express ACE2, such as the pulmonary alveolar epithelial cells."
424,however studies also indicate possibility damage renal cells since cells express high levels ace,"However, studies also indicate the possibility of damage to renal cells, since these cells express high levels of ACE2."
425,currently evidence indicate specific treatment covid,"Currently, there is no evidence to indicate a specific treatment for covid-19."
426,several drugs used may excretion process altered patients abnormal kidney function,"Several drugs have been used, and some of them may have their excretion process altered in patients with abnormal kidney function."
427,date studies assist health professionals adjusting dose drugs,"To date, there are no studies that assist health professionals in adjusting the dose of these drugs."
428,thus study aims review discuss topic taking account factors associated kidney injury covid well pharmacokinetic aspects dose recommendations main drugs used covid,"Thus, this study aims to review and discuss the topic, taking into account factors associated with kidney injury in covid-19, as well as pharmacokinetic aspects and dose recommendations of the main drugs used for covid-19."
429,novel severe acute respiratory syndrome coronavirus sarscov associated coronavirus disease covid began ravaging globe november,Novel severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) and associated coronavirus disease 19 (COVID-19) began ravaging most of the globe in November 2019.
430,united states million people infected sarscov,In the United States more than 25 million people have been infected with SARS-CoV-2.
431,date covid killed close us citizens,"To date, COVID-19 has killed close to 400,000 U.S. citizens."
432,face limited pharmacotherapies current burden sarscov covid signals overwhelming sickness trillions healthcare costs ahead,"In the face of limited pharmacotherapies, the current burden of SARS-CoV-2 and COVID-19 signals overwhelming sickness and trillions in healthcare costs ahead."
433,need expeditiously identify safe efficacious prophylaxis treatment options critical,The need to expeditiously identify safe and efficacious prophylaxis and treatment options is critical.
434,drug repositioning may promising strategy toward mitigating impact sarscov covid,Drug repositioning may be a promising strategy toward mitigating the impact of SARS-CoV-2 and COVID-19.
435,rapid review appraises available evidence viability vintage antimalarial drugs chloroquine chq analog hydroxychloroquine hcq repositioned sarscov prophylaxis covid treatment,This rapid review appraises available evidence on the viability of vintage antimalarial drugs chloroquine (CHQ) and its analog hydroxychloroquine (HCQ) repositioned for SARS-CoV-2 prophylaxis and COVID-19 treatment.
436,findings suggest neither use chq hcq singularly concomitantly azithromycin zinc provide definitive benefits use sarscov infection covid illness,"Findings suggest neither the use of CHQ nor HCQ singularly, or concomitantly, with azithromycin and/or zinc provide definitive benefits for use against SARS-CoV-2 infection or COVID-19 illness."
437,moreover administration medications linked significant sometimes fatal complications,"Moreover, administration of these medications was linked to significant and sometimes fatal complications."
438,background severe acute respiratory syndrome coronavirus sarscov infection resulting coronavirus disease covid afflicted tens millions people worldwide pandemic,BACKGROUND: Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) infection and the resulting coronavirus disease 2019 (Covid-19) have afflicted tens of millions of people in a worldwide pandemic.
439,safe effective vaccines needed urgently,Safe and effective vaccines are needed urgently.
440,methods ongoing multinational placebocontrolled observerblinded pivotal efficacy trial randomly assigned persons years age older ratio receive two doses days apart either placebo bntb vaccine candidate mug per dose,"METHODS: In an ongoing multinational, placebo-controlled, observer-blinded, pivotal efficacy trial, we randomly assigned persons 16 years of age or older in a 1:1 ratio to receive two doses, 21 days apart, of either placebo or the BNT162b2 vaccine candidate (30 mug per dose)."
441,bntb lipid nanoparticleformulated nucleosidemodified rna vaccine encodes prefusion stabilized membraneanchored sarscov fulllength spike protein,"BNT162b2 is a lipid nanoparticle-formulated, nucleoside-modified RNA vaccine that encodes a prefusion stabilized, membrane-anchored SARS-CoV-2 full-length spike protein."
442,primary end points efficacy vaccine laboratoryconfirmed covid safety,The primary end points were efficacy of the vaccine against laboratory-confirmed Covid-19 and safety.
443,results total participants underwent randomization received injections bntb placebo,"RESULTS: A total of 43,548 participants underwent randomization, of whom 43,448 received injections: 21,720 with BNT162b2 and 21,728 with placebo."
444,cases covid onset least days second dose among participants assigned receive bntb cases among assigned placebo bntb effective preventing covid credible interval,"There were 8 cases of Covid-19 with onset at least 7 days after the second dose among participants assigned to receive BNT162b2 and 162 cases among those assigned to placebo; BNT162b2 was 95% effective in preventing Covid-19 (95% credible interval, 90.3 to 97.6)."
445,similar vaccine efficacy generally observed across subgroups defined age sex race ethnicity baseline bodymass index presence coexisting conditions,"Similar vaccine efficacy (generally 90 to 100%) was observed across subgroups defined by age, sex, race, ethnicity, baseline body-mass index, and the presence of coexisting conditions."
446,among cases severe covid onset first dose occurred placebo recipients bntb recipient,"Among 10 cases of severe Covid-19 with onset after the first dose, 9 occurred in placebo recipients and 1 in a BNT162b2 recipient."
447,safety profile bntb characterized shortterm mildtomoderate pain injection site fatigue headache,"The safety profile of BNT162b2 was characterized by short-term, mild-to-moderate pain at the injection site, fatigue, and headache."
448,incidence serious adverse events low similar vaccine placebo groups,The incidence of serious adverse events was low and was similar in the vaccine and placebo groups.
449,conclusions twodose regimen bntb conferred protection covid persons years age older,CONCLUSIONS: A two-dose regimen of BNT162b2 conferred 95% protection against Covid-19 in persons 16 years of age or older.
450,safety median months similar viral vaccines,Safety over a median of 2 months was similar to that of other viral vaccines.
451,funded biontech pfizer clinicaltrialsgov number nct,"(Funded by BioNTech and Pfizer; ClinicalTrials.gov number, NCT04368728."
452,background study attempts understand coronavirus disease covid vaccine demand hesitancy assessing publics vaccination intention willingnesstopay wtp,BACKGROUND: This study attempts to understand coronavirus disease 2019 (COVID-19) vaccine demand and hesitancy by assessing the public's vaccination intention and willingness-to-pay (WTP).
453,confidence covid vaccines produced china preference domesticallymade foreignmade vaccines also investigated,Confidence in COVID-19 vaccines produced in China and preference for domestically-made or foreign-made vaccines was also investigated.
454,methods nationwide crosssectional selfadministered online survey conducted may,"METHODS: A nationwide cross-sectional, self-administered online survey was conducted on 1-19 May 2020."
455,health belief model hbm used theoretical framework understanding covid vaccination intent wtp,The health belief model (HBM) was used as a theoretical framework for understanding COVID-19 vaccination intent and WTP.
456,results total complete responses received,"RESULTS: A total of 3,541 complete responses were received."
457,majority reported probably yes intent followed definite yes intent,"The majority reported a probably yes intent (54.6%), followed by a definite yes intent (28.7%)."
458,perception vaccination decreases chances getting covid perceived benefit construct ci concerned efficacy new covid vaccines perceived barriers construct ci found highest significant odds definite intention take covid vaccine,"The perception that vaccination decreases the chances of getting COVID-19 under the perceived benefit construct (OR = 3.14, 95% CI 2.05-4.83) and not being concerned about the efficacy of new COVID-19 vaccines under the perceived barriers construct (OR = 1.65, 95% CI 1.31-2.09) were found to have the highest significant odds of a definite intention to take the COVID-19 vaccine."
459,median interquartile range iqr wtp covid vaccine cny yen us iqr cny yen usd,The median (interquartile range [IQR]) of WTP for COVID-19 vaccine was CNY yen200/US$28 (IQR CNY yen100-500/USD$14-72).
460,highest marginal wtp vaccine influenced socioeconomic factors,The highest marginal WTP for the vaccine was influenced by socio-economic factors.
461,majority confident completely confident domesticallymade covid vaccine,The majority were confident (48.7%) and completely confident (46.1%) in domestically-made COVID-19 vaccine.
462,reported preference domesticallymade foreignmade covid vaccine,64.2% reported a preference for a domestically-made over foreign-made COVID-19 vaccine.
463,conclusions findings demonstrate utility hbm constructs understanding covid vaccination intent wtp,CONCLUSIONS: The findings demonstrate the utility of HBM constructs in understanding COVID-19 vaccination intent and WTP.
464,important improve health promotion reduce barriers covid vaccination,It is important to improve health promotion and reduce the barriers to COVID-19 vaccination.
465,several coronavirus disease covid vaccines currently human trials,Several coronavirus disease 2019 (COVID-19) vaccines are currently in human trials.
466,june surveyed people countries determine potential acceptance rates factors influencing acceptance covid vaccine,"In June 2020, we surveyed 13,426 people in 19 countries to determine potential acceptance rates and factors influencing acceptance of a COVID-19 vaccine."
467,participants reported would somewhat likely take covid vaccine reported would accept employers recommendation,"Of these, 71.5% of participants reported that they would be very or somewhat likely to take a COVID-19 vaccine, and 48.1% reported that they would accept their employer's recommendation to do so."
468,differences acceptance rates ranged almost china less russia,Differences in acceptance rates ranged from almost 90% (in China) to less than 55% (in Russia).
469,respondents reporting higher levels trust information government sources likely accept vaccine take employers advice,Respondents reporting higher levels of trust in information from government sources were more likely to accept a vaccine and take their employer's advice to do so.
470,purpose review severe acute respiratory syndrome coronavirus sarscov novel coronavirus causes coronavirus disease covid caused substantial morbidity mortality,"PURPOSE OF REVIEW: Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2), the novel coronavirus that causes coronavirus disease 2019 (COVID-19), has caused substantial morbidity and mortality."
471,operation warp speed aims accelerate development safe effective vaccine early,Operation Warp Speed aims to accelerate the development of a safe and effective vaccine by early 2021.
472,multiple vaccine candidates reassuring safety efficacy profiles advanced phase clinical trials adults,Multiple vaccine candidates with reassuring safety and efficacy profiles have advanced to phase 3 clinical trials in adults.
473,purpose review describe burden covid children update pediatricians adult covid vaccine clinical trials discuss importance covid vaccine trials children instill confidence established vaccine development licensure processes,"The purpose of this review is to describe the burden of COVID-19 in children, to update pediatricians about adult COVID-19 vaccine clinical trials, to discuss the importance of COVID-19 vaccine trials in children and to instill confidence in the established vaccine development and licensure processes."
474,recent findings children ages risk sarscov infection severe disease manifestations,RECENT FINDINGS: Children of all ages are at risk for SARS-CoV-2 infection and severe disease manifestations.
475,children also susceptible downstream effects covid including social isolation interruption education,"Children are also susceptible to downstream effects of COVID-19, including social isolation and interruption in education."
476,developing pediatric covid vaccine could prevent disease mitigate downstream effects enable children reengage world,"Developing a pediatric COVID-19 vaccine could prevent disease, mitigate downstream effects and enable children to re-engage in their world."
477,summary children could benefit directly indirectly vaccination,SUMMARY: Children could benefit both directly and indirectly from vaccination.
478,light safety immunogenicity results recent adult covid vaccine clinical trials children opportunity included clinical trials parallel ongoing adult phase clinical trials manner careful methodical transparent,"In light of the safety and immunogenicity results from recent adult COVID-19 vaccine clinical trials, children should have the opportunity to be included in clinical trials in parallel to ongoing adult phase 3 clinical trials in a manner that is careful, methodical and transparent."
479,december food drug administration fda issued emergency use authorization eua moderna covid mrna vaccine modernatx inc cambridge massachusetts lipid nanoparticleencapsulated nucleosidemodified mrna vaccine encoding stabilized prefusion spike glycoprotein sarscov virus causes coronavirus disease covid,"On December 18, 2020, the Food and Drug Administration (FDA) issued an Emergency Use Authorization (EUA) for the Moderna COVID-19 (mRNA-1273) vaccine (ModernaTX, Inc; Cambridge, Massachusetts), a lipid nanoparticle-encapsulated, nucleoside-modified mRNA vaccine encoding the stabilized prefusion spike glycoprotein of SARS-CoV-2, the virus that causes coronavirus disease 2019 (COVID-19) (1)."
480,vaccine second covid vaccine authorized eua prevention covid united states,This vaccine is the second COVID-19 vaccine authorized under an EUA for the prevention of COVID-19 in the United States (2).
481,vaccination moderna covid vaccine consists doses mug ml administered intramuscularly month weeks apart,"Vaccination with the Moderna COVID-19 vaccine consists of 2 doses (100 mug, 0.5 mL each) administered intramuscularly, 1 month (4 weeks) apart."
482,december advisory committee immunization practices acip issued interim recommendation use moderna covid vaccine persons aged years prevention covid,"On December 19, 2020, the Advisory Committee on Immunization Practices (ACIP) issued an interim recommendation* for use of the Moderna COVID-19 vaccine in persons aged >/=18 years for the prevention of COVID-19."
483,guide deliberations regarding vaccine acip employed evidence recommendation etr framework dagger using grading recommendations assessment development evaluation grade approach,"To guide its deliberations regarding the vaccine, ACIP employed the Evidence to Recommendation (EtR) Framework,(dagger) using the Grading of Recommendations Assessment, Development and Evaluation (GRADE) approach."
484,section sign use covid vaccines authorized eua including moderna covid vaccine implemented conjunction acips interim recommendations allocating initial supplies covid vaccines,"( section sign) Use of all COVID-19 vaccines authorized under an EUA, including the Moderna COVID-19 vaccine, should be implemented in conjunction with ACIP's interim recommendations for allocating initial supplies of COVID-19 vaccines (3)."
485,acip recommendation use moderna covid vaccine eua interim updated additional information becomes available,The ACIP recommendation for the use of the Moderna COVID-19 vaccine under EUA is interim and will be updated as additional information becomes available.
486,coronavirus disease covid pandemic spread almost nooks corners world,The Coronavirus disease 2019 (COVID-19) pandemic has spread to almost all nooks and corners of the world.
487,numerous potential approaches pharmacologically fight covid smallmolecule drugs interferon therapies vaccines oligonucleotides peptides monoclonal antibodies,"There are numerous potential approaches to pharmacologically fight COVID-19: small-molecule drugs, interferon therapies, vaccines, oligonucleotides, peptides, and monoclonal antibodies."
488,medications developed target spike membrane nucleocapsid envelope proteins,"Medications are being developed to target the spike, membrane, nucleocapsid or envelope proteins."
489,spike protein also critical target vaccine development,The spike protein is also a critical target for vaccine development.
490,immunoinformatic approaches used identification b cell cytotoxic lymphocyte ctl epitopes sarscov spike protein,Immunoinformatic approaches are being used for the identification of B cell and cytotoxic T lymphocyte (CTL) epitopes in the SARS-CoV-2 spike protein.
491,different vaccine vectors also developed,Different vaccine vectors are also being developed.
492,chemical physical methods formaldehyde uv light betapropiolactone deployed preparation inactivated virus vaccine,"Chemical and physical methods such as formaldehyde, UV light or beta-propiolactone are being deployed for the preparation of inactivated virus vaccine."
493,currently many vaccines undergoing clinical trials,"Currently, there are many vaccines undergoing clinical trials."
494,even though mrna dna vaccines designed moved clinical trials types vaccines yet approved regulatory bodies human use,"Even though mRNA and DNA vaccines are being designed and moved into clinical trials, these types of vaccines are yet to be approved by regulatory bodies for human use."
495,review focuses drugs vaccines developed covid,This review focuses on the drugs and vaccines being developed against the COVID-19.
496,background medical students among group frontline healthcare providers likely exposed covid patients,BACKGROUND: Medical students are among the group of frontline healthcare providers likely to be exposed to COVID-19 patients.
497,important achieve high covid vaccination coverage rates group soon vaccine available,It is important to achieve high COVID-19 vaccination coverage rates in this group as soon as a vaccine is available.
498,future healthcare providers entrusted providing vaccine recommendations counseling vaccinehesitant patients,"As future healthcare providers, they will be entrusted with providing vaccine recommendations and counseling vaccine-hesitant patients."
499,methods project used selfreport assess vaccine hesitancy acceptance among medical students towards novel covid vaccine,METHODS: This project used self-report to assess vaccine hesitancy and acceptance among medical students towards the novel COVID-19 vaccine.
500,results nearly participants positive attitudes towards vaccines agreed would likely exposed covid however indicated would participate covid vaccine trial unwilling take covid vaccine immediately upon fda approval,"RESULTS: Nearly all participants had positive attitudes towards vaccines and agreed they would likely be exposed to COVID-19; however, only 53% indicated they would participate in a COVID-19 vaccine trial and 23% were unwilling to take a COVID-19 vaccine immediately upon FDA approval."
501,students willing immediately take vaccine likely trust public health experts fewer concerns side effects agree vaccine mandates p,"Students willing to immediately take the vaccine were more likely to trust public health experts, have fewer concerns about side effects and agree with vaccine mandates (P < 0.05)."
502,concern serious side effects independently predictive lower odds intent participate covid vaccine trial aor p,"Concern for serious side effects was independently predictive of lower odds of intent to participate in a COVID-19 vaccine trial (AOR = 0.41, P = 0.01)."
503,conclusion first study evaluate covid vaccine hesitancy among us medical students highlights need educational curriculum safety effectiveness promote uptake covid vaccine,CONCLUSION: This is the first study to evaluate COVID-19 vaccine hesitancy among US medical students and highlights the need for an educational curriculum about the safety and effectiveness to promote uptake of the COVID-19 vaccine.
504,introduction severe acute respiratory syndrome coronavirus sarscov currently caused pandemic high progressive speed considered global public health crisis,INTRODUCTION: The severe acute respiratory syndrome coronavirus-2 (SARS-CoV-2) has currently caused the pandemic with a high progressive speed and has been considered as the global public health crisis in 2020.
505,new member coronavirus family created potentially fatal disease called coronavirus disease covid,"This new member of the coronavirus family has created a potentially fatal disease, called coronavirus disease-2019 (COVID-19)."
