,_key,_idf
1654,fluoroquinolone,1
1655,fnc,1
1656,focus,9
1657,focused,8
1658,focuses,5
1659,focusing,2
1660,fold,2
1661,follow,1
1662,followed,7
1663,following,13
1664,follows,3
1665,followup,9
1666,food,8
1667,forced,1
1668,forefront,1
1669,foreign,5
1670,foreignmade,2
1671,foremost,1
1672,form,4
1673,formaldehyde,1
1674,format,1
1675,formation,1
1676,formed,1
1677,formidable,1
1678,forming,1
1679,forms,1
1680,formula,1
1681,formulafed,2
1682,formulation,4
1683,formulations,1
1684,forsaken,1
1685,found,21
1686,four,10
1687,fourfold,1
1688,fourth,2
1689,fpv,1
1690,frailty,2
1691,frame,3
1692,framework,5
1693,free,3
1694,freeofcharge,1
1695,frequencies,4
1696,frequency,9
1697,frequent,5
1698,frequently,5
1699,frontline,1
1700,frontrunners,1
1701,fulfilled,2
1702,full,2
1703,fulllength,2
1704,fulltext,2
1705,fully,7
1706,fumarate,13
1707,function,8
1708,functional,8
1709,functions,7
1710,fundamental,1
1711,funded,1
1712,funding,3
1713,fungal,1
1714,furthermore,4
1715,futility,2
1716,future,19
1717,g,5
1718,ga,1
1719,gain,2
1720,gamaleya,1
1721,gamma,2
1722,gaps,1
1723,garlic,1
1724,gather,1
1725,gc,1
1726,genclip,1
1727,gender,2
1728,genderbased,1
1729,genderdisaggregated,1
1730,gendered,1
1731,gene,8
1732,genebased,3
1733,general,10
1734,generalized,1
1735,generally,4
1736,generate,5
1737,generated,2
1738,generations,1
1739,generic,2
1740,genes,2
1741,genetic,1
1742,geneva,1
1743,genome,7
1744,genomes,1
1745,genomic,1
1746,genotype,2
1747,genotypes,6
1748,genotyping,1
1749,geographic,1
1750,geographically,1
1751,geological,1
1752,geometric,3
1753,gestational,1
1754,get,3
1755,getting,1
1756,ghana,1
1757,ginseng,1
1758,girls,1
1759,give,2
1760,given,20
1761,glabra,3
1762,glaxosmithkline,1
1763,global,34
1764,globally,5
1765,globe,4
1766,globulin,3
1767,glomerulonephritis,2
1768,glucocorticoid,1
1769,glucocorticoids,2
1770,glycan,1
1771,glycoprotein,5
1772,glycoproteins,1
1773,glycosylation,1
1774,glycyrrhiza,2
1775,gmc,7
1776,go,2
1777,goal,8
1778,goals,5
1779,going,1
1780,goldstandard,1
1781,good,4
1782,google,4
1783,government,4
1784,governments,1
1785,governorate,1
1786,gprotein,1
1787,grade,6
1788,grades,1
1789,grading,2
1790,gradually,2
1791,granzyme,1
1792,graph,1
1793,great,10
1794,greater,10
1795,greatest,2
1796,green,1
1797,gross,2
1798,groundbreaking,1
1799,grounds,1
1800,group,42
1801,grouped,1
1802,groups,22
1803,growing,3
1804,growth,3
1805,guangxi,1
1806,guaranteed,1
1807,guardians,2
1808,guidance,2
1809,guide,4
1810,guideline,3
1811,guidelines,18
1812,guiding,1
1813,h,3
1814,haematological,1
1815,half,4
1816,halt,1
1817,hamper,1
1818,hamster,1
1819,harboured,1
1820,harm,1
1821,harmful,2
1822,harness,1
1823,hav,2
1824,havoc,1
1825,hazard,1
1826,hb,21
1827,hbc,3
1828,hbcab,2
1829,hbcabs,3
1830,hbcrag,15
1831,hbd,7
1832,hbeag,15
1833,hbeagpositive,4
1834,hbig,3
1835,hbm,2
1836,hbo,3
1837,hbs,5
1838,hbsab,15
1839,hbsabseronegative,4
1840,hbsabseropositive,1
1841,hbsag,50
1842,hbsagcoated,1
1843,hbsagnegative,2
1844,hbsagpla,4
1845,hbsagpositive,7
1846,hbv,239
1847,hbvac,3
1848,hbvaccine,1
1849,hbvaccinecoverage,1
1850,hbvcured,1
1851,hbvdna,2
1852,hbvinfected,5
1853,hbviss,1
1854,hbvmediated,1
1855,hbvmonoinfected,1
1856,hbvrelated,3
1857,hbvspecific,1
1858,hbvtargeting,1
1859,hbx,2
1860,hbxis,4
1861,hcart,6
1862,hcc,29
1863,hcmv,2
1864,hcq,16
1865,hcv,25
1866,hcvassociated,1
1867,hcws,8
1868,hdc,4
1869,hdv,2
1870,headache,1
1871,headings,2
1872,health,69
1873,healthcare,24
1874,healthfacility,1
1875,healthy,16
1876,hearing,3
1877,heart,4
1878,hearts,1
1879,heavy,2
1880,held,1
1881,helicase,1
1882,help,6
1883,helpful,2
1884,hematologic,1
1885,hematological,1
1886,hematopoietic,2
1887,hence,2
1888,hepa,1
1889,hepadnaviral,1
1890,hepadnaviridae,1
1891,hepadnaviruses,2
1892,heparin,4
1893,heparins,2
1894,hepatectomy,3
1895,hepatidities,1
1896,hepatitis,27
1897,hepatitis b,240
1898,hepatitisbinfected,2
1899,hepatitisbrelated,6
1900,hepatitisbvaccine,1
1901,hepatitisbx,1
1902,hepatocellular,18
1903,hepatocyte,2
1904,hepatocytes,5
1905,hepatocytetransplanted,1
1906,hepatotoxicity,1
1907,hepatotropic,2
1908,hepb,7
1909,hepbalum,8
1910,hepbbd,11
1911,hepbcpg,13
1912,hepcpg,1
1913,heplisav,1
1914,heplisavb,36
1915,heralded,1
1916,herb,2
1917,herbal,6
1918,herbs,2
1919,herd,1
1920,herein,3
1921,herpes,1
1922,hesitancy,11
1923,hesitant,1
1924,heterogeneity,2
1925,heterogeneous,1
1926,hev,5
1927,high,57
1928,highdose,1
1929,higher,53
1930,highest,7
1931,highimpact,1
1932,highincome,1
1933,highlevel,3
1934,highlight,8
1935,highlighted,2
1936,highlighting,1
1937,highlights,4
1938,highly,9
1939,highquality,1
1940,highresponse,2
1941,highrisk,6
1942,hinges,1
1943,histology,1
1944,historical,3
1945,historically,1
1946,history,8
1947,hiv,18
1948,hivexposed,3
1949,hivinfected,9
1950,hivnegative,4
1951,hivpositive,9
1952,hivseropositive,1
1953,hla,1
1954,hold,1
1955,home,5
1956,homeostasis,1
1957,homoharringtonine,1
1958,hope,4
1959,hopefully,1
1960,hoping,1
1961,hopkins,1
1962,horizontal,2
1963,horse,1
1964,hospital,21
1965,hospitalisation,2
1966,hospitalised,4
1967,hospitalization,1
1968,hospitalizations,2
1969,hospitalized,3
1970,hospitals,3
1971,host,7
1972,hour,1
1973,hours,8
1974,household,2
1975,households,1
1976,however,40
1977,hpv,2
1978,hr,2
1979,https,1
1980,hua,1
1981,hub,2
1982,huge,2
1983,human,27
1984,humanized,1
1985,humans,9
1986,humoral,5
1987,hundred,4
1988,hurdle,2
1989,hyaline,1
1990,hydrophilicity,1
1991,hydroxychloroquine,11
1992,hygiene,3
1993,hyperbaric,1
1994,hypercoagulability,1
1995,hypercoagulation,1
1996,hypericum,1
1997,hyperimmune,1
1998,hyperinflammation,2
1999,hyperinflammatory,3
2000,hyperpermeability,1
2001,hyperplastic,2
2002,hypersensitivity,1
2003,hypertension,2
2004,hypoglycemia,1
2005,hyporesponsive,1
2006,hyporesponsiveness,1
2007,hypotheses,1
2008,hypothesis,4
2009,hypothesized,2
2010,hypoxemia,2
2011,ia,3
2012,ibd,11
2013,ibdspecific,1
2014,ic,2
2015,icc,3
2016,icer,1
2017,icers,4
2018,idc,1
2019,idcs,1
2020,ide,8
2021,idea,2
2022,ideally,2
2023,ideas,1
2024,identification,2
2025,identified,28
2026,identifier,1
2027,identify,13
2028,identifying,1
2029,identity,1
2030,ie,4
2031,ifn,10
2032,ifng,1
2033,ifngamma,2
2034,ifnmediated,1
2035,ifns,2
2036,igaspecific,1
2037,igg,6
2038,igga,1
2039,iggfc,1
2040,igm,1
2041,iguesterin,1
2042,ii,8
2043,iii,9
2044,iinduced,1
2045,il,11
2046,ilb,1
2047,ilbeta,1
2048,ill,1
2049,illness,7
2050,illnesses,2
2051,illustrates,1
2052,im,3
2053,imaging,1
2054,imatinib,1
2055,imbalance,3
2056,immature,1
2057,immediate,1
2058,immediately,5
2059,imminent,1
2060,immune,50
2061,immunemediated,1
2062,immuneresponse,1
2063,immunetolerant,1
2064,immunisation,2
2065,immunisations,1
2066,immunity,21
2067,immunization,27
2068,immunize,1
2069,immunized,2
2070,immunoassay,2
2071,immunodeficiency,3
2072,immunodeficient,1
2073,immunogenic,1
2074,immunogenicity,15
2075,immunoglobulin,6
2076,immunoglobulins,2
2077,immunohistochemistry,1
2078,immunoinformatic,2
2079,immunological,10
2080,immunology,1
2081,immunomodulating,2
2082,immunomodulation,1
2083,immunomodulators,2
2084,immunomodulatory,6
2085,immunopathological,1
2086,immunopathology,1
2087,immunoprophylaxis,6
2088,immunosuppressants,3
2089,immunosuppressed,1
2090,immunosuppression,5
2091,immunosuppressive,7
2092,immunotherapeutics,2
2093,immunotherapy,2
2094,impact,15
2095,impacts,6
2096,impaired,2
2097,impairment,1
2098,impending,1
2099,implement,2
2100,implementation,10
2101,implemented,5
2102,implementing,1
2103,implicated,1
2104,implication,2
2105,implications,2
2106,implying,1
2107,importance,8
2108,important,26
2109,imposed,2
2110,improve,12
2111,improved,11
2112,improvement,6
2113,improvements,1
2114,improves,3
2115,improving,3
2116,inactivated,6
2117,inactivation,1
2118,inadequate,1
2119,inc,3
2120,inception,3
2121,incidence,17
2122,incident,2
2123,include,6
2124,included,39
2125,includes,2
2126,including,45
2127,inclusion,6
2128,income,5
2129,incomplete,1
2130,inconclusive,3
2131,inconsistency,1
2132,inconvenience,1
2133,incorporation,1
2134,increase,16
2135,increased,28
2136,increases,1
2137,increasing,12
2138,increasingly,1
2139,incremental,5
2140,incubation,1
2141,incurable,1
2142,indeed,1
2143,indefinite,1
2144,independent,11
2145,independently,3
2146,indepth,1
2147,indeterminate,3
2148,index,2
2149,indexes,1
2150,india,3
2151,indicate,9
2152,indicated,8
2153,indicates,1
2154,indicating,3
2155,indication,1
2156,indications,3
2157,indicators,1
2158,indinavir,1
2159,indirectly,2
2160,indispensable,2
2161,individual,7
2162,individuals,19
2163,indonesia,2
2164,induce,2
2165,induced,5
2166,inducer,1
2167,induces,2
2168,induction,2
2169,inductive,1
2170,industry,1
2171,ineffective,1
2172,inequalities,2
2173,inequities,2
2174,inexpensive,2
2175,infancy,2
2176,infant,16
2177,infants,45
2178,infarction,2
2179,infect,1
2180,infected,26
2181,infection,171
2182,infectioninduced,1
2183,infections,29
2184,infectionspecific,1
2185,infectious,11
2186,infectiveness,1
2187,infectivity,4
2188,infects,3
2189,inferential,1
2190,inferred,1
2191,infiltrate,1
2192,infiltration,1
2193,inflammation,5
2194,inflammatory,17
2195,inflicted,1
2196,infliximab,2
2197,influence,5
2198,influenced,5
2199,influences,1
2200,influencing,3
2201,influenza,3
2202,inform,4
2203,information,21
2204,informed,2
2205,infrastructure,1
2206,infrequent,1
2207,inherent,1
2208,inhibit,4
2209,inhibited,1
2210,inhibiting,2
2211,inhibition,3
2212,inhibitor,1
2213,inhibitors,3
2214,inhospital,1
2215,initial,14
2216,initially,5
2217,initiated,1
2218,initiation,7
2219,initiatives,1
2220,inject,2
2221,injected,1
2222,injecting,1
2223,injection,7
2224,injections,1
2225,injuries,2
2226,injury,4
2227,innate,4
2228,innovative,1
2229,inpatient,1
2230,inpatients,1
2231,inprocess,1
2232,insertion,1
2233,insight,3
2234,insights,1
2235,instance,1
2236,instances,1
2237,instead,2
2238,instill,1
2239,institution,1
2240,institutional,2
2241,institutions,2
2242,instrumental,1
2243,insufficiency,1
2244,insufficient,1
2245,insurance,1
2246,integrations,1
2247,intend,1
2248,intended,1
2249,intensified,1
2250,intensive,2
2251,intent,4
2252,intention,3
2253,interaction,8
2254,interactions,9
2255,interest,6
2256,interestingly,3
2257,interfere,1
2258,interference,1
2259,interfering,1
2260,interferon,8
2261,interferongamma,1
2262,interferongammamediated,1
2263,interferons,3
2264,interferonstimulated,1
2265,interim,10
2266,interleukin,3
2267,intermediate,1
2268,intermittent,1
2269,international,5
2270,interoperable,1
2271,interplay,1
2272,interpretation,3
2273,interquartile,1
2274,interrupt,1
2275,interruption,1
2276,intersection,1
2277,interstitial,3
2278,interval,12
2279,intervals,2
2280,intervention,6
2281,interventions,20
2282,interviewed,1
2283,interviews,5
2284,intracellular,4
2285,intrahepatic,4
2286,intramuscular,3
2287,intramuscularly,2
2288,intravenous,2
2289,intravenously,2
2290,introduce,1
2291,introduced,4
2292,introduces,1
2293,introduction,11
2294,intubated,1
2295,intubation,2
2296,invading,1
2297,invasive,2
2298,invest,3
2299,investigate,9
2300,investigated,7
2301,investigates,1
2302,investigation,5
2303,investigational,2
2304,investigations,2
2305,investment,1
2306,invitro,1
2307,invivo,1
2308,involve,2
2309,involved,4
2310,involvement,2
2311,involving,2
2312,ionomycin,1
2313,ipd,4
2314,iqr,4
2315,iraq,1
2316,iraqi,1
2317,irish,1
2318,ischaemia,1
2319,ischemic,1
2320,isi,1
2321,isolated,1
2322,isolation,4
2323,isolations,1
2324,isoniazid,1
2325,isotope,1
2326,iss,1
2327,issue,8
2328,issued,7
2329,issues,7
2330,italian,1
2331,italians,1
2332,italy,1
2333,itching,3
2334,items,2
2335,iu,16
2336,iv,4
2337,ivermectin,7
2338,ivermectinrelated,2
2339,ivig,3
2340,jak,1
2341,jan,1
2342,janssen,1
2343,january,10
2344,japan,2
2345,jhu,1
2346,jirovecii,1
2347,john,1
2348,johnsonjohnson,1
2349,joint,1
2350,journal,1
2351,judged,1
2352,july,5
2353,june,6
2354,justification,2
2355,justified,2
2356,justify,2
2357,kaiser,1
2358,kampala,1
2359,kb,1
2360,keeps,1
2361,kegg,2
2362,kenya,1
2363,kerala,2
2364,key,7
2365,kg,2
2366,kidney,12
2367,kidneys,2
2368,killed,1
2369,killer,1
2370,kinase,2
2371,kinds,1
2372,kinetics,1
2373,kingdom,1
2374,know,1
2375,knowledge,7
2376,known,11
2377,korea,2
2378,kpa,1
2379,l,8
2380,lab,1
2381,label,1
2382,labeling,1
2383,laboratory,3
2384,laboratoryconfirmed,1
2385,labs,1
2386,lack,14
2387,lacking,2
2388,lactating,1
2389,lamivudine,9
2390,landscape,2
2391,language,3
2392,large,10
2393,largely,3
2394,larger,4
2395,largesample,1
2396,largescale,1
2397,largest,2
2398,laryngoscope,1
2399,last,7
2400,lastmile,1
2401,late,4
2402,later,5
2403,latest,1
2404,latestage,1
2405,latin,1
2406,launched,2
2407,layperson,1
2408,lead,11
2409,leaders,2
2410,leadership,1
2411,leading,12
2412,leads,2
2413,leaning,1
2414,learn,1
2415,learned,2
2416,least,13
2417,led,9
2418,ledipasvir,1
2419,length,1
2420,lenvervimab,1
2421,leone,1
2422,lesion,1
2423,lesions,6
2424,less,12
2425,lessons,3
2426,leukaemia,2
2427,leukemia,6
2428,leukocytemediated,1
2429,leukopenia,1
2430,level,13
2431,levels,51
2432,lexicomp,1
2433,lhqw,9
2434,lhqwcomponent,1
2435,lhqwpin,1
2436,lhqwproteins,1
2437,lian,1
2438,library,1
2439,licensed,2
2440,licensure,2
2441,lieu,1
2442,life,6
2443,lifecycle,1
2444,lifesaving,1
2445,lifethreatening,2
2446,lifetime,2
2447,lifeyears,1
2448,ligands,1
2449,light,2
2450,like,3
2451,likelihood,3
2452,likely,22
2453,limit,3
2454,limitations,3
2455,limited,15
2456,limits,3
2457,line,3
2458,link,1
2459,linked,2
2460,lipid,4
2461,lipids,1
2462,liposomes,1
2463,list,2
2464,listed,1
2465,lists,1
2466,literature,12
2467,literaturebased,1
2468,little,4
2469,live,2
2470,liveattenuated,1
2471,livelihoods,1
2472,liver,56
2473,liverpool,1
2474,livers,1
2475,livertropism,1
2476,lives,6
2477,livevectored,1
2478,living,5
2479,lns,1
2480,load,9
2481,loads,4
2482,local,5
2483,location,1
2484,locations,2
2485,lockdowns,1
2486,log,5
2487,logistic,6
2488,logiu,1
2489,long,4
2490,longitudinal,1
2491,longterm,17
2492,longtime,1
2493,look,1
2494,looked,1
2495,looks,1
2496,lopinavir,8
2497,lopinavirritonavir,1
2498,los,4
2499,loss,11
2500,lost,4
2501,lot,10
2502,lots,5
2503,lottolot,1
2504,low,29
2505,lowcertainty,1
2506,lowcost,1
2507,lower,26
2508,lowered,1
2509,lowerincome,2
2510,lowincome,1
2511,lowinflammation,1
2512,lowlevel,1
2513,lowmedium,1
2514,lowmolecularweight,1
2515,lowresponse,2
2516,lt,1
2517,lung,8
2518,lungs,3
2519,lycorine,1
2520,lymph,2
2521,lymphoblastic,1
2522,lymphocyte,2
2523,lymphocytes,1
2524,lymphocytic,2
2525,lymphoma,3
2526,lymphopenia,1
2527,macrophages,2
2528,maculopapular,1
2529,madagascar,1
2530,made,5
2531,main,18
2532,mainly,4
2533,mainstay,1
2534,maintain,1
2535,maintained,1
2536,maintaining,1
2537,maintenance,2
2538,major,20
2539,majority,6
2540,make,2
2541,makes,2
2542,malaria,1
2543,malawi,1
2544,male,10
2545,males,3
2546,malignancies,4
2547,malignancy,1
2548,manage,2
2549,manageable,1
2550,managed,1
2551,management,19
2552,managing,1
2553,mandates,1
2554,mandatory,1
2555,manifestation,1
2556,manifestations,5
2557,manifests,1
2558,mankind,1
2559,mann,1
2560,manner,1
2561,manual,1
2562,manufacture,1
2563,manufactured,2
2564,manufacturer,1
2565,manufacturing,4
2566,manuscript,1
2567,many,20
2568,map,1
2569,march,6
2570,marginal,3
2571,marked,1
2572,markedly,1
2573,marker,3
2574,markers,10
2575,markov,2
2576,marriageable,1
2577,marrowderived,2
2578,mass,2
2579,massachusetts,1
2580,massive,2
2581,matched,5
2582,matching,1
2583,material,1
2584,materials,7
2585,maternal,10
2586,mathematical,1
2587,matrices,1
2588,matrix,1
2589,matter,2
2590,maturation,3
2591,maximal,1
2592,maximum,1
2593,may,66
2594,mcode,1
2595,mean,20
2596,meaningful,1
2597,means,2
2598,meanwhile,2
2599,measles,1
2600,measure,2
2601,measured,4
2602,measurement,1
2603,measurements,1
2604,measures,11
2605,measuring,2
2606,mechanical,4
2607,mechanism,5
2608,mechanisms,19
2609,media,2
2610,median,11
2611,mediated,2
2612,mediates,1
2613,medica,1
2614,medical,22
2615,medication,5
2616,medications,9
2617,medicinal,3
2618,medicine,7
2619,medicines,1
2620,medium,1
2621,medline,3
2622,meet,1
2623,meeting,1
2624,meld,1
2625,mellitus,1
2626,member,2
2627,members,4
2628,membrane,2
2629,membraneanchored,1
2630,memory,2
2631,men,3
2632,mena,1
2633,menace,1
2634,mental,2
2635,mentions,1
2636,mere,1
2637,meridian,1
2638,merit,1
2639,mers,4
2640,merscov,6
2641,mesenchymal,4
2642,mesh,1
2643,met,5
2644,metaanalysis,11
2645,metagenomic,1
2646,metaregression,1
2647,metazoans,1
2648,method,7
2649,methodical,1
2650,methodological,1
2651,methodology,3
2652,methods,50
2653,methylprednisolone,5
2654,mg,1
2655,mhc,1
2656,mice,9
2657,microangiopathy,1
2658,microbiology,1
2659,microg,2
2660,microl,5
2661,microlisa,1
2662,micromedex,1
2663,microneedle,2
2664,microneedles,2
2665,micronutrients,3
2666,microparticle,1
2667,micrornas,1
2668,microsimulation,1
2669,midaugust,1
2670,middle,5
2671,middleincome,2
2672,middleresponse,1
2673,midst,1
2674,midterm,1
2675,might,14
2676,migration,1
2677,mild,7
2678,mildly,1
2679,mildtomoderate,1
2680,military,1
2681,milk,1
2682,million,15
2683,millions,3
2684,mimicking,1
2685,min,2
2686,minerals,1
2687,minimize,3
2688,minireview,1
2689,ministry,1
2690,minority,2
2691,minus,1
2692,minutes,2
2693,mir,2
2694,mirnas,3
2695,misinterpretation,1
2696,miss,1
2697,missing,1
2698,mistrust,6
2699,mitigate,5
2700,mitigated,1
2701,mitigating,3
2702,mitigation,2
2703,miu,25
2704,mixed,3
2705,mixture,1
2706,ml,43
2707,mm,1
2708,mn,1
2709,mnews,1
2710,mobilized,1
2711,modalities,3
2712,mode,1
2713,model,10
2714,modeled,3
2715,modeling,1
2716,modelling,1
2717,models,3
2718,moderate,8
2719,moderatecertainty,1
2720,modern,1
2721,moderna,8
2722,modernatx,1
2723,modifications,1
2724,modified,1
2725,modulate,1
2726,modulated,1
2727,modulates,1
2728,modulation,2
2729,modulators,2
2730,modules,4
2731,moh,1
2732,molecular,12
2733,molecule,3
2734,molecules,4
2735,moment,1
2736,momentarily,1
2737,monastir,1
2738,monitor,2
2739,monitored,3
2740,monitoring,9
2741,monoclonal,3
2742,monocytes,1
2743,mononuclear,2
2744,monotherapy,7
2745,month,18
2746,monthly,4
2747,months,41
2748,morbidity,13
2749,moreover,9
2750,mortality,35
2751,mostly,2
2752,mother,4
2753,mothers,21
2754,mothertochild,5
2755,mothertochildtransmission,1
2756,mothertoinfant,1
2757,motif,1
2758,motifs,1
2759,moud,5
2760,mouse,6
2761,moved,1
2762,moving,1
2763,mpageb,3
2764,mrna,12
2765,mrnabased,2
2766,msclike,1
2767,mscs,7
2768,mtct,15
2769,much,4
2770,mucolytic,1
2771,mucus,1
2772,mug,17
2773,multicenter,3
2774,multimethods,1
2775,multinational,1
2776,multiorgan,2
2777,multiple,16
2778,multiplechoice,1
2779,multiplelogisticregressionanalysis,1
2780,multitarget,2
2781,multitransfused,2
2782,multivariable,3
2783,multivariableadjusted,2
2784,multivariate,1
2785,mumol,1
2786,must,10
2787,mutation,2
2788,mv,2
2789,myalgia,1
2790,myocardial,2
2791,myriad,3
2792,n,9
2793,nac,7
2794,nacetylcysteine,1
2795,nadir,1
2796,nadirs,1
2797,naive,2
2798,named,4
2799,nanjing,1
2800,nanocapsules,1
2801,nanocarriers,1
2802,nanocomplexation,1
2803,nanocrystals,1
2804,nanomedicines,1
2805,nanoparticleencapsulated,1
2806,nanoparticleformulated,2
2807,nanoparticles,2
2808,nanospheres,1
2809,nanosponges,1
2810,nanostructured,1
2811,nanotechnology,1
2812,nanovaccines,3
2813,nanovesicles,1
2814,narrative,4
2815,narratively,1
2816,narrow,1
2817,nas,16
2818,national,9
2819,nations,2
2820,nationwide,1
2821,natural,9
2822,nature,1
2823,nausea,1
2824,ncov,1
2825,nct,6
2826,nd,3
2827,ndash,2
2828,near,1
2829,nearly,3
2830,necessary,5
2831,necessitating,1
2832,necessity,1
2833,necrosis,2
2834,necrotizing,1
2835,need,21
2836,needed,12
2837,needing,1
2838,needs,4
2839,negativation,1
2840,negative,14
2841,negatively,1
2842,neglected,1
2843,neither,4
2844,neolithic,1
2845,neonatal,2
2846,neonates,1
2847,nervous,1
2848,nested,1
2849,net,2
2850,network,7
2851,networks,1
2852,neurological,2
2853,neuropathy,1
2854,neutralizing,3
2855,nevertheless,2
2856,new,35
2857,newborn,2
2858,newborns,6
2859,newcastleottawa,1
2860,newer,2
2861,newly,2
2862,newness,1
2863,next,2
2864,nextgeneration,1
2865,ng,3
2866,nhl,3
2867,nhs,1
2868,nigella,1
2869,nigeria,2
2870,nine,3
2871,nineteen,1
2872,ninetyone,1
2873,ninetysix,1
2874,ningming,1
2875,nitazoxanide,1
2876,nk,1
2877,nlinked,1
2878,nm,1
2879,nmol,3
2880,nnv,1
2881,node,1
2882,nodes,2
2883,nodosa,4
2884,nonadjuvanted,1
2885,nonallergic,1
2886,nonanaphylaxis,2
2887,nonavailability,1
2888,noncoding,1
2889,noncomplete,2
2890,noncompliance,1
2891,none,3
2892,nonenveloped,1
2893,nonhepatocellular,1
2894,nonhodgkin,1
2895,nonhomogeneous,1
2896,nonindexed,1
2897,noninferior,2
2898,noninferiority,1
2899,noninvasive,2
2900,nonneutralizing,1
2901,nonpharmaceutical,4
2902,nonpregnant,1
2903,nonprotective,3
2904,nonrandomised,2
2905,nonreactive,3
2906,nonresponders,10
2907,nonresponse,2
2908,nonresponsiveness,1
2909,nonrheumatic,3
2910,nonvaccination,3
2911,nonviral,1
2912,nonzero,1
2913,nooks,1
2914,normal,4
2915,normalcy,2
2916,normality,1
2917,north,1
2918,note,1
2919,noted,2
2920,notes,1
2921,notified,2
2922,novavax,1
2923,novel,32
2924,novelty,1
2925,november,2
2926,novo,3
2927,nowadays,1
2928,nr,3
2929,nterminal,1
2930,nuclear,1
2931,nuclei,1
2932,nucleic,4
2933,nucleocapsid,1
2934,nucleocapsids,1
2935,nucleos,4
2936,nucleoside,1
2937,nucleosidemodified,3
2938,nucleot,3
2939,nucleotide,2
2940,nucleotides,1
2941,nucloes,1
2942,number,9
2943,numbers,6
2944,numerical,1
2945,numerous,2
2946,nurse,1
2947,nurseactivated,1
2948,nursedriven,1
2949,nurseled,1
2950,nurseries,1
2951,nurseriesat,1
2952,nursery,5
2953,nurses,2
2954,nursing,5
2955,nutritional,1
2956,nvc,2
2957,ny,1
2958,obesity,3
2959,obi,4
2960,objective,17
2961,objectives,9
2962,observation,3
2963,observational,8
2964,observe,1
2965,observed,18
2966,observerblinded,1
2967,observing,2
2968,obtain,2
2969,obtained,7
2970,obtaining,3
2971,occult,4
2972,occupational,7
2973,occupationrelated,1
2974,occupations,1
2975,occur,3
2976,occurred,3
2977,occurrence,6
2978,occurring,2
2979,occurs,1
2980,october,4
2981,odds,11
2982,offending,1
2983,offer,1
2984,offered,1
2985,offers,4
2986,officials,2
2987,officinale,1
2988,officinalis,1
2989,offlabel,1
2990,often,5
2991,oh,4
2992,oils,1
2993,old,4
2994,older,21
2995,oldest,1
2996,oligonucleotide,1
2997,oligonucleotides,1
2998,oncology,1
2999,one,36
3000,onefifth,1
3001,onefourth,1
3002,ones,2
3003,onethird,1
3004,ongoing,13
3005,online,5
3006,onset,10
3007,ontology,1
3008,ontreatment,1
3009,onward,1
3010,open,1
3011,openlabel,1
3012,opentext,2
3013,operating,2
3014,operation,1
3015,opinion,6
3016,opinions,1
3017,opioid,2
3018,opportunities,1
3019,opportunity,1
3020,optimal,5
3021,optimism,1
3022,optimization,2
3023,optimized,1
3024,option,6
3025,optional,1
3026,options,11
3027,oral,2
3028,order,8
3029,ordering,1
3030,organ,4
3031,organic,1
3032,organisation,1
3033,organization,14
3034,organizations,2
3035,organize,1
3036,organs,5
3037,original,1
3038,originating,1
3039,origins,1
3040,ors,3
3041,oseltamivir,1
3042,others,5
3043,ototoxic,3
3044,ototoxicity,2
3045,outbreak,8
3046,outbreaks,3
3047,outcome,14
3048,outcomes,11
3049,outline,3
3050,outpatient,2
3051,outpatients,1
3052,outprospero,1
3053,output,1
3054,outreach,2
3055,ovarian,2
3056,ovary,1
3057,overall,14
3058,overallvaccinecoverage,1
3059,overcome,2
3060,overview,5
3061,overwhelming,2
3062,ovid,1
3063,oxford,1
3064,oxygen,3
3065,oxygenation,1
3066,oxygenationozonation,1
3067,ozone,10
3068,p,52
3069,pac,3
3070,pace,2
3071,paediatric,1
3072,paid,1
3073,pain,3
3074,paired,1
3075,pairs,2
3076,pairwise,1
3077,panax,1
3078,pancreatic,1
3079,pandemic,62
3080,pandemics,5
3081,panic,1
3082,paniculata,1
3083,papainlike,1
3084,paper,3
3085,papillomavirus,1
3086,parallel,3
3087,parameters,3
3088,paramount,1
3089,parents,8
3090,part,4
3091,partially,1
3092,participant,1
3093,participants,43
3094,participate,3
3095,participated,1
3096,particle,1
3097,particular,7
3098,particularly,6
3099,passage,1
3100,passive,1
3101,passiveactive,1
3102,past,7
3103,patent,1
3104,path,1
3105,pathogen,1
3106,pathogenagnostic,1
3107,pathogenesis,7
3108,pathogenhost,1
3109,pathogenic,1
3110,pathogenicity,1
3111,pathogens,2
3112,pathologic,1
3113,pathological,4
3114,pathologies,1
3115,pathophysiology,2
3116,pathway,6
3117,pathways,3
3118,patient,17
3119,patients,235
3120,pattern,3
3121,patterns,1
3122,pay,4
3123,payer,1
3124,pcdnahbx,1
3125,pcr,4
3126,pcrcovid,1
3127,pde,1
3128,pdsa,1
3129,peak,1
3130,pediatr,1
3131,pediatric,8
3132,pediatricians,1
3133,pediatrics,2
3134,pegifn,7
3135,peginterferonalfa,1
3136,pegylated,4
3137,pennsylvania,1
3138,people,36
3139,peoplebornabroad,1
3140,peptide,1
3141,peptides,1
3142,per,9
3143,perceived,4
3144,percent,1
3145,percentage,5
3146,percentages,2
3147,perception,2
3148,perdose,1
3149,perforatum,1
3150,perform,2
3151,performance,3
3152,performed,17
3153,performing,1
