Title,Abstract
The use of IV vitamin C for patients with COVID-19: a case series.,"BACKGROUND: The coronavirus disease 2019 (COVID-19) pandemic has affected almost 2.5 million people worldwide with almost 170,000 deaths reported to date. So far, there is scarce evidence for the current treatment options available for COVID-19. Vitamin C has previously been used for treatment of severe sepsis and septic shock. We reviewed the feasibility of using vitamin C in the setting of COVID-19 in a series of patients. METHODS: We sequentially identified a series of patients who were requiring at least 30% of FiO2 or more who received IV vitamin C as part of the COVID-19 treatment and analyzed their demographic and clinical characteristics. We compared inflammatory markers pre and post treatment including D-dimer and ferritin. RESULTS: We identified a total of 17 patients who received IV vitamin C for COVID-19. The inpatient mortality rate in this series was 12% with 17.6% rates of intubation and mechanical ventilation. We noted a significant decrease in inflammatory markers, including ferritin and D-dimer, and a trend to decreasing FiO2 requirements, after vitamin C administration. CONCLUSION: The use of IV vitamin C in patients with moderate to severe COVID-19 disease may be feasible."
The interplay between inflammatory pathways and COVID-19: A critical review on pathogenesis and therapeutic options.,"COVID-19, caused by SARS-CoV-2, emerged as the deadliest outbreak that has now become a serious health issue to mankind. Activation of inflammatory signaling pathways and cytokine storm are crucial factors that lead to acute respiratory distress syndrome (ARDS) in COVID-19 patients. Excessive secretion of pro-inflammatory cytokines and chemokines leads to the dysregulation of the innate immune system. The cytokine storm attracts many inflammatory cells that infiltrate into the lung tissues and ultimately cause immune damage. In addition to the dysregulation of the immune system, dysfunction of the renin-angiotensin system (RAS) due to the downregulation of ACE2 is also associated with the mortality of COVID-19 patients. Both the mechanisms are directly or indirectly associated with cytokine storm that promotes vascular hyperpermeability, vascular edema leading to hypercoagulation and hence multiorgan damage. As of now, there is no specific treatment available for COVID-19, but scientists have purposed several treatment options including cytokine inhibitors, JAK inhibitors, immunomodulators, plasma therapy, etc. In this article, we have provided the detailed mechanism of occurrence of SARS-CoV-2 induced inflammatory storm and its connection with the pre-existing inflammatory conditions. Possible treatment options to cope up with the severe clinical manifestations of COVID-19 are also discussed."
Could cilostazol be beneficial in COVID-19 treatment? Thinking about phosphodiesterase-3 as a therapeutic target.,"Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) causes coronavirus disease 2019 (COVID-19) that has emerged and rapidly spread across the world. The COVID-19 severity is associated to viral pneumonia with additional extrapulmonary complications. Hyperinflammation, dysfunctional immune response and hypercoagulability state are associated to poor prognosis. Therefore, the repositioning of multi-target drugs to control the hyperinflammation represents an important challenge for the scientific community. Cilostazol, a selective phosphodiesterase type-3 inhibitor (PDE-3), is an antiplatelet and vasodilator drug, that presents a range of pleiotropic effects, such as antiapoptotic, anti-inflammatory, antioxidant, and cardioprotective activities. Cilostazol also can inhibit the adenosine uptake, which enhances intracellular cAMP levels. In the lungs, elevated cAMP promotes anti-fibrotic, vasodilator, antiproliferative effects, as well as mitigating inflammatory events. Interestingly, a recent study evaluated antiplatelet FDA-approved drugs through molecular docking-based virtual screening on viral target proteins. This study revealed that cilostazol is a promising drug against COVID-19 by inhibiting both main protease (M(pro)) and Spike glycoprotein, reinforcing its use as a promising therapeutic approach for COVID-19. Considering the complexity associated to COVID-19 pathophysiology and observing its main mechanisms, this article raises the hypothesis that cilostazol may act on important targets in development of the disease. This review highlights the importance of drug repurposing to address such an urgent clinical demand safely, effectively and at low cost, reinforcing the main pharmacological actions, to support the hypothesis that a multi-target drug such as cilostazol could play an important role in the treatment of COVID-19."
Review of adverse cutaneous reactions of pharmacologic interventions for COVID-19: A guide for the dermatologist.,"The new coronavirus, severe acute respiratory syndrome coronavirus 2, is associated with a wide variety of cutaneous manifestations. Although new skin manifestations caused by COVID-19 are continuously being described, other cutaneous entities should also be considered in the differential diagnosis, including adverse cutaneous reactions to drugs used in the treatment of COVID-19 infections. The aim of this review is to provide dermatologists with an overview of the cutaneous adverse effects associated with the most frequently prescribed drugs in patients with COVID-19. The skin reactions of antimalarials (chloroquine and hydroxychloroquine), antivirals (lopinavir/ritonavir, ribavirin with or without interferon, oseltamivir, remdesivir, favipiravir, and darunavir), and treatments for complications (imatinib, tocilizumab, anakinra, immunoglobulins, corticosteroids, colchicine and low molecular weight heparins) are analyzed. Information regarding possible skin reactions, their frequency, management, and key points for differential diagnosis are presented."
A systematic review and meta-analysis on chloroquine and hydroxychloroquine as monotherapy or combined with azithromycin in COVID-19 treatment.,"Many recent studies have investigated the role of either Chloroquine (CQ) or Hydroxychloroquine (HCQ) alone or in combination with azithromycin (AZM) in the management of the emerging coronavirus. This systematic review and meta-analysis of either published or preprint observational studies or randomized control trials (RCT) aimed to assess mortality rate, duration of hospital stay, need for mechanical ventilation (MV), virologic cure rate (VQR), time to a negative viral polymerase chain reaction (PCR), radiological progression, experiencing drug side effects, and clinical worsening. A search of the online database through June 2020 was performed and examined the reference lists of pertinent articles for in-vivo studies only. Pooled relative risks (RRs), standard mean differences of 95% confidence intervals (CIs) were calculated with the random-effects model. Mortality was not different between the standard care (SC) and HCQ groups (RR = 0.99, 95% CI 0.61-1.59, I(2) = 82%), meta-regression analysis proved that mortality was significantly different across the studies from different countries. However, mortality among the HCQ + AZM was significantly higher than among the SC (RR = 1.8, 95% CI 1.19-2.27, I(2) = 70%). The duration of hospital stay in days was shorter in the SC in comparison with the HCQ group (standard mean difference = 0.57, 95% CI 0.20-0.94, I(2) = 92%), or the HCQ + AZM (standard mean difference = 0.77, 95% CI 0.46-1.08, I(2) = 81). Overall VQR, and that at days 4, 10, and 14 among patients exposed to HCQ did not differ significantly from the SC [(RR = 0.92, 95% CI 0.69-1.23, I(2) = 67%), (RR = 1.11, 95% CI 0.26-4.69, I(2) = 85%), (RR = 1.21, 95% CI 0.70-2.01, I(2) = 95%), and (RR = 0.98, 95% CI 0.76-1.27, I(2) = 85% )] respectively. Exposure to HCQ + AZM did not improve the VQR as well (RR = 3.23, 95% CI 0.70-14.97, I(2) = 58%). The need for MV was not significantly different between the SC and HCQ (RR = 1.5, 95% CI 0.78-2.89, I(2) = 81%), or HCQ + AZM (RR = 1.27, 95% CI 0.7-2.13, I(2) = 88%). Side effects were more reported in the HCQ group than in the SC (RR = 3.14, 95% CI 1.58-6.24, I(2) = 0). Radiological improvement and clinical worsening were not statistically different between HCQ and SC [(RR = 1.11, 95% CI 0.74-1.65, I(2) = 45%) and (RR = 1.28, 95% CI 0.33-4.99), I(2) = 54%] respectively. Despite the scarcity of published data of good quality, the effectiveness and safety of either HCQ alone or in combination with AZM in treating COVID-19 cannot be assured. Future high-quality RCTs need to be carried out.PROSPERO registration: CRD42020192084."
The role of mesenchymal stem cells in COVID-19 treatment.,"The novel coronavirus (SARS-CoV-2) pandemic has created a sense of global panic and the medical community started to search for rapid answers. Pharmaceuticals and research labs across the world are racing to find vaccines and treatments for the new coronavirus, using a variety of different technological ways. With Coronavirus disease (COVID-19), it is observed that asymptomatic symptoms turn out to be severe and fatal. By raising pyrexia, sepsis, acute respiratory distress syndrome (ARDS), and multiple organ failure are observed to develop which are not only associated with coronavirus. The treatment of the virus and the systemic inflammatory response it causes are also very important. The rapid response to infection has been well defined and comprises a complex interaction of cytokine storm, endothelial dysfunction, inflammation, and pathologic coagulation. Since the effective therapies are missing and immunological treatments may be deficient, mesenchymal stem cells (MSCs), by reason of their potent immunomodulatory ability, can have useful results in order to prevent the cytokine storm and reduce morbidity and mortality for COVID-19. The aim of this article is to discuss the potential effect of MSCs types in COVID-19 infection without definite treatment."
Clinical outcomes of hospitalised patients with COVID-19 and chronic inflammatory and autoimmune rheumatic diseases: a multicentric matched cohort study.,"OBJECTIVES: The impact of inflammatory rheumatic diseases on COVID-19 severity is poorly known. Here, we compare the outcomes of a cohort of patients with rheumatic diseases with a matched control cohort to identify potential risk factors for severe illness. METHODS: In this comparative cohort study, we identified hospital PCR+COVID-19 rheumatic patients with chronic inflammatory arthritis (IA) or connective tissue diseases (CTDs). Non-rheumatic controls were randomly sampled 1:1 and matched by age, sex and PCR date. The main outcome was severe COVID-19, defined as death, invasive ventilation, intensive care unit admission or serious complications. We assessed the association between the outcome and the potential prognostic variables, adjusted by COVID-19 treatment, using logistic regression. RESULTS: The cohorts were composed of 456 rheumatic and non-rheumatic patients, in equal numbers. Mean age was 63 (IQR 53-78) years and male sex 41% in both cohorts. Rheumatic diseases were IA (60%) and CTD (40%). Most patients (74%) had been hospitalised, and the risk of severe COVID-19 was 31.6% in the rheumatic and 28.1% in the non-rheumatic cohort. Ageing, male sex and previous comorbidity (obesity, diabetes, hypertension, cardiovascular or lung disease) increased the risk in the rheumatic cohort by bivariate analysis. In logistic regression analysis, independent factors associated with severe COVID-19 were increased age (OR 4.83; 95% CI 2.78 to 8.36), male sex (1.93; CI 1.21 to 3.07) and having a CTD (OR 1.82; CI 1.00 to 3.30). CONCLUSION: In hospitalised patients with chronic inflammatory rheumatic diseases, having a CTD but not IA nor previous immunosuppressive therapies was associated with severe COVID-19."
Identifying side effects of commonly used drugs in the treatment of Covid 19.,"To increase the success in Covid 19 treatment, many drug suggestions are presented, and some clinical studies are shared in the literature. There have been some attempts to use some of these drugs in combination. However, using more than one drug together may cause serious side effects on patients. Therefore, detecting drug-drug interactions of the drugs used will be of great importance in the treatment of Covid 19. In this study, the interactions of 8 drugs used for Covid 19 treatment with 645 different drugs and possible side effects estimates have been produced using Graph Convolutional Networks. As a result of the experiments, it has been found that the hematopoietic system and the cardiovascular system are exposed to more side effects than other organs. Among the focused drugs, Heparin and Atazanavir appear to cause more adverse reactions than other drugs. In addition, as it is known that some of these 8 drugs are used together in Covid-19 treatment, the side effects caused by using these drugs together are shared. With the experimental results obtained, it is aimed to facilitate the selection of the drugs and increase the success of Covid 19 treatment according to the targeted patient."
The Potential Mechanism of N-acetylcysteine in Treating COVID-19.,"N-Acetylcysteine (NAC) has been proposed to be used to treat Coronavirus Disease 2019 (COVID-19). By reviewing the existing pathological studies of COVID-19, it was found that abundant mucus secretion, formation of a hyaline membrane (supportive of acute respiratory distress syndrome), and interstitial fibrous exudation may be important characteristics of COVID-19 and pathological targets of drug therapy. In addition, multiple extrapulmonary organ injuries in COVID- 19 may be associated with cytokine storm. NAC is an important antioxidant and anti-inflammatory drug. NAC has been demonstrated to have mucolytic effects in bronchitis, relieve respiratory failure in acute respiratory distress syndrome, and inhibit fibrous exudation in interstitial lung disease in clinical studies. These findings suggest that NAC may have a therapeutic effect on the pathological targets of COVID-19. Furthermore, NAC decreases TNF-alpha, IL-1beta, IL-6, IL-8, IL-10, and IL-17 serum levels in patients with sepsis, severe burns, acute liver failure, or peritoneal dialysis and may also reduce cytokine storm in COVID-19. The antiviral effect of NAC on other respiratory viruses may also benefit COVID-19 patients. Summarizing the potential mechanisms of NAC in treating COVID-19 suggests that the role of NAC in COVID-19 treatment is worthy of further research."
Hydroxychloroquine for the treatment of COVID-19 and its potential cardiovascular toxicity: Hero or villain?,"A variety of treatment modalities have been investigated since the beginning of the Coronavirus Disease-19 (COVID-19) pandemic. The use of antimalarials (hydroxychloroquine and chloroquine) for COVID-19 treatment and prevention has proven to be a cautionary tale for widespread, off-label use of a medication during a crisis. The investigation of antimalarials for COVID-19 has also been a driver for a deluge of scientific output in a short amount of time. In this narrative review, we detail the evidence for and against antimalarial use in COVID-19, starting with the early small observational studies that influenced strategies worldwide. We then contrast these findings to later published larger observational studies and randomized controlled trials. We detail the emerging possible cardiovascular risks associated with antimalarial use in COVID-19 and whether COVID-19-related outcomes and cardiovascular risks may differ for antimalarials used in rheumatic diseases."
Efficacy of Dexamethasone for the Treatment of COVID-19 Infection: A Perspective Review.,"The current COVID-19 pandemic has provoked the urgent requirement to search for effective treatments since the implications are so huge globally as compared to the earlier pandemics. Momentarily, there has been no effective medicine for SARS-CoV-2 infection, and supportive care tends to be the most effective approach to treat COVID-19 patients. The rapidly growing awareness of SARS-CoV-2 virology offers a large number of possible drug targets. The World Health Organisation (WHO) is steadily updating the treatment protocol for COVID-19 based on the recent clinical trials. In the present review, we have summarised the possible mode of action, clinical evidence, consequences of dexamethasone as the therapeutic agent against Covid-19. Currently, many corticosteroids are being tested in ongoing randomised trials. Dexamethasone could come as the life-saving drug. Dexamethasone drug looks useful only in those patients who are already in a critical state. We might allow dexamethasone as a fascinating shot, if the drug proves to be clinically favourable for long-term health effects of Covid-19 recovered patients. It is commonly accepted to reinforce approved drugs in the fight against newly emerging diseases such as COVID-19 as these drugs have established pharmacokinetic profiles and protection. The current focus should be on the development of novel proven therapeutics along with vaccines. There is a need for high quality, more extensive, rapid and collaborative randomized controlled trials with more control groups."
Human Monoclonal Antibodies: On the Menu of Targeted Therapeutics Against COVID-19.,"Coronavirus disease 2019 (COVID-19), reminiscent of the severe acute respiratory syndrome (SARS) outbreak in 2003, has been a tragic disaster to people all over the world. As there is no specific drug for COVID-19, neutralizing antibodies are attracting more and more attention as one of the most effective means to combat the pandemic. Here, we introduced the etiological and serological characteristics of COVID-19, discussed the current stage of development of human monoclonal antibodies against SARS-CoV-2 and summarized the antigenic epitopes in the S glycoprotein, which may deepen the understanding of the profile of immune recognition and response against SARS-CoV-2 and provide insight for the design of effective vaccines and antibody-based therapies."
A pharmacology-based comprehensive review on medicinal plants and phytoactive constituents possibly effective in the management of COVID-19.,"Arisen in China, COVID-19 (SARS-CoV-II) is a novel coronavirus that has been expanding fast worldwide. Till now, no definite remedial drug or vaccine has been identified for COVID-19 treatment. Still, for a majority of infected patients, supportive therapy is the cornerstone of the management plan. To the importance of managing the COVID-19 pandemic, this article proposed to collecting capable medicinal plants and bioactive components in both treat and supportive therapy of this novel viral infection. Clinical points in the pathogenesis, symptoms, and complications of COVID-19 were considered. The effective plants and bioactives that may play a role in supportive therapy/management of COVID-19 were searched, collected through the ""Scopus"" database and listed in three sections. Numerous medicinal plants such as Citrus Spp., Camellia sinensis, and Glycyrrhiza glabra can interference with COVID-19 pathogenesis via inhibition of virus replication and entry to its host cells. Also, some anti-inflammatory herbal medicine such as Andrographis paniculata, Citrus spp., and Cuminum cyminum can relieve fever and cough in COVID-19 patients. Medicinal plants such as G. glabra, Thymus vulgaris, Allium sativum, Althea officinalis, and Panax ginseng may modulate the immune system and possess prevention and supportive therapy. However, more clinical data are required to confirm these hypotheses."
Stem Cell Therapy: A Promising Approach in Treatment of COVID-19.,"COVID-19 pandemic is a global health crisis of the 21st Century. There are currently no approved vaccines and no particular anti-viral treatment for coronavirus disease. As COVID-19 has a broad range of illnesses, it is necessary to find a safe and effective therapeutic method for COVID-19. An attractive approach for treating COVID-19 is cell therapy. Cell therapy aims to inject new and healthy stem cells into a patient's body, to repair the damaged cells and tissues. Stem cell therapy is one of the most studied and important approaches in the treatment of COVID-19 these days. The significant clinical outcome was observed by the adoptive transfer of stem cells, specifically mesenchymal stem cells. This study reviews the characteristics of stem cells and clinical trials that have used stem cells in treating COVID-19."
Drug-drug interactions between COVID-19 treatments and antipsychotics drugs: integrated evidence from 4 databases and a systematic review.,"RATIONALE: Management of anxiety, delirium, and agitation cannot be neglected in coronavirus disease (COVID-19). Antipsychotics are usually used for the pharmacological management of delirium, and confusion and behavioral disturbances. The concurrent use of treatments for COVID-19 and antipsychotics should consider eventual drug-drug interactions OBJECTIVE: To systematically review evidence-based available on drug-drug interactions between COVID-19 treatments and antipsychotics. EVIDENCE REVIEW: Three databases were consulted: Lexicomp(R) Drug Interactions, Micromedex(R) Solutions Drugs Interactions, and Liverpool(c) Drug Interaction Group for COVID-19 therapies. To acquire more information on QT prolongation and Torsade de Pointes (TdP), the CredibleMeds(R) QTDrugs List was searched. The authors made a recommendation agreed to by consensus. Additionally, a systematic review of drug-drug interactions between antipsychotics and COVID-19 treatment was conducted. RESULTS: The main interactions between COVID-19 drugs and antipsychotics are the risk of QT-prolongation and TdP, and cytochromes P450 interactions. Remdesivir, baricinitib, and anakinra can be used concomitantly with antipsychotics without risk of drug-drug interaction (except for hematological risk with clozapine and baricinitib). Favipiravir only needs caution with chlorpromazine and quetiapine. Tocilizumab is rather safe to use in combination with antipsychotics. The most demanding COVID-19 treatments for coadministration with antipsychotics are chloroquine, hydroxychloroquine, azithromycin, and lopinavir/ritonavir because of the risk of QT prolongation and TdP and cytochromes interactions. The systematic review provides highly probable drug interaction between lopinavir/ritonavir plus quetiapine and ritonavir/indinavir plus risperidone. CONCLUSIONS: Clinicians prescribing antipsychotics should be aware of the likely risk of drug-drug interaction with COVID-19 medication and may benefit from taking into account present recommendations of use to preserve patient safety."
"Network pharmacology analysis of the therapeutic mechanisms of the traditional Chinese herbal formula Lian Hua Qing Wen in Corona virus disease 2019 (COVID-19), gives fundamental support to the clinical use of LHQW.","BACKGROUND: The traditional Chinese Medicine (TCM) herbal formula Lian Hua Qing Wen (LHQW) improves the results of COVID-19 treatment. Three very recent studies analyzed with network pharmacology some working mechanisms of LHQW. However, we used more techniques and also included Angiotensin converting enzyme 2 (ACE2) (a SARS-CoV receptor, possibly the viral entry point in alveolar lung cells) and the immune system, as cytokine storm is essential in the late phase. PURPOSE: Extensive detailed Network Pharmacology analysis of the LHQW- treatment mechanism in COVID-19. METHODS: TCM-herb-meridian and protein interaction network (PIN) of LHQW, based on LHQW herbs meridian information and the protein-protein interaction (PPI) information of the LHQW-component targets. Hub and topological property analyses to obtain crucial targets and construct the crucial LHQW-PIN. Functional modules determination using MCODE, GO and KEGG pathway analysis of biological processes and pathway enrichment. Intersection calculations between the LHQW-proteins and ACE2 co-expression-proteins. RESULTS: LHQW herbs have relationships to Stomach-, Heart-, Liver- and Spleen-systems, but most (10 of the 13 herbs) to the Lung system, indicating specific effects in lung diseases. The crucial LHQW PIN has the scale-free property, contains 2,480 targets, 160,266 PPIs and thirty functional modules. Six modules are enriched in leukocyte-mediated immunity, the interferon-gamma-mediated signaling pathway, immune response regulating signaling pathway, interleukin 23 mediated signaling pathway and Fc gamma receptor-mediated phagocytosis (GO analysis). These 6 are also enriched in cancer, immune system-, and viral infection diseases (KEGG). LHQW shared 189 proteins with ACE2 co-expression proteins. CONCLUSIONS: Detailed network analysis shows, that LHQW herbal TCM treatment modulates the inflammatory process, exerts antiviral effects and repairs lung injury. Moreover, it also relieves the ""cytokine storm"" and improves ACE2-expression-disorder-caused symptoms. These innovative findings give a rational pharmacological basis and support for treating COVID-19 and possibly other diseases with LHQW."
"Early experimental COVID-19 therapies: associations with length of hospital stay, mortality and related costs.","AIMS OF THE STUDY: Hydroxychloroquine and lopinavir/ritonavir have been used as experimental therapies to treat COVID-19 during the first wave of the pandemic. Randomised controlled trials have recently shown that there are no meaningful benefits of these two therapies in hospitalised patients. Uncertainty remains regarding the potential harmful impact of these therapies as very early treatments and their burden to the health care system. The present study investigated the length of hospital stay (LOS), mortality, and costs of hydroxychloroquine, lopinavir/ritonavir or their combination in comparison with standard of care among patients hospitalised for coronavirus disease 2019 (COVID-19). METHODS: This retrospective observational cohort study took place in the Geneva University Hospitals, Geneva, Switzerland (n = 840) between 26 February and 31 May 2020. Demographics, treatment regimens, comorbidities, the modified National Early Warning Score (mNEWS) on admission, and contraindications to COVID-19 treatment options were assessed. Outcomes included LOS, in-hospital mortality, and drug and LOS costs. RESULTS: After successful propensity score matching, patients treated with (1) hydroxychloroquine, (2) lopinavir/ritonavir or (3) their combination had on average 3.75 additional hospitalisation days (95% confidence interval [CI] 1.37&ndash;6.12, p = 0.002), 1.23 additional hospitalisation days (95% CI &minus;1.24 &ndash; 3.51, p = 0.319), and 4.19 additional hospitalisation days (95% CI 1.52&ndash;5.31, p &lt;0.001), respectively, compared with patients treated with the standard of care. Neither experimental therapy was significantly associated with mortality. These additional hospital days amounted to 1010.77 additional days for hydroxychloroquine and hydroxychloroquine combined with lopinavir/ritonavir, resulting in an additional cost of US$ 2,492,214 (95%CI US$ 916,839&ndash;3,450,619). CONCLUSIONS: Prescribing experimental therapies for COVID-19 was not associated with a reduced LOS and might have increased the pressure put on healthcare systems."
"COVID-19 associated coagulopathy: Thrombosis, hemorrhage and mortality rates with an escalated-dose thromboprophylaxis strategy.",
The shortcomings of tocilizumab in COVID-19.,
"COVID-19, host response treatment, and the need for political leadership.","Health officials and scientists have warned that we face the threat of a potentially devastating influenza pandemic. Instead, we are now in the midst of a global coronavirus (COVID-19) pandemic. National and international pandemic preparedness plans have focused on developing vaccines and antiviral treatments. Another way to confront the COVID-19 pandemic (and future pandemics) might be to treat patients with inexpensive and widely available generic drugs that target the host response to infection, not the virus itself. The feasibility of this idea was tested during the Ebola outbreak in West Africa in 2014. This experience should inform our approach to treating COVID-19 patients. It could also save lives during outbreaks of other emerging infectious diseases and episodes of everyday acute critical illness. If this ""bottom up"" syndromic approach to treating acute critical illness were shown to be effective, it could have a dramatic impact on health, equity and security throughout the world. HIGHLIGHTS: Uncertainty about the outcome of COVID-19 is driving the social, economic and political distress associated with the pandemic. Treating the host response to COVID-19 with inexpensive and widely available generic drugs might save lives and mitigate this distress. Undertaking research on this idea will require political leadership."
A Narrative Review of Pharmacologic Treatments for COVID-19: Safety Considerations and Ototoxicity.,"OBJECTIVE/HYPOTHESIS: The purpose of this review is to summarize evidence-based data regarding the ototoxic effects of potential COVID-19 therapeutics to treat patients suffering from SARS-CoV-2. METHODS: Medications under investigation as novel therapeutics to treat COVID-19 were identified using the search term coronavirus therapeutics, COVID therapeutics, and SARS-CoV-2 therapeutics on ClinicalTrials.gov and the PubMed Database. A literature review was performed using the PubMed Database for each proposed COVID-19 therapeutic to identify relevant articles. Search criteria included Medical Subject Headings (MeSH) and key word search terms for ototoxicity, vestibulotoxicity, hearing disorders, and vertigo. RESULTS: Six proposed COVID-19 therapeutics were identified as possessing ototoxic side effects including chloroquine and hydroxychloroquine, azithromycin, lopinavir-ritonavir, interferon, ribavirin, and ivermectin. CONCLUSIONS: Available evidence suggests that ototoxic effects may be improved or mitigated by stopping the offending agent. Recognition of hearing loss, tinnitus, or imbalance/vertigo is therefore crucial to facilitate early intervention and prevent long-term damage. Hospitals should consider the inclusion of audiologic monitoring protocols for patients receiving COVID-19 therapeutics with known ototoxicity, especially in high-risk patient groups such as the elderly and hearing impaired. Laryngoscope, 131:1626-1632, 2021."
Use of medicines for covid-19 treatment in patients with loss of kidney function: a narrative review.,"Covid-19 has been identified as the cause of acute respiratory disease with interstitial and alveolar pneumonia, but it can affect several organs, such as kidneys, heart, blood, nervous system and digestive tract. The disease-causing agent (Sars-CoV-2) has a binding structure to the angiotensin-converting enzyme 2 (ACE2) receptor, enabling entry into cells that express ACE2, such as the pulmonary alveolar epithelial cells. However, studies also indicate the possibility of damage to renal cells, since these cells express high levels of ACE2. Currently, there is no evidence to indicate a specific treatment for covid-19. Several drugs have been used, and some of them may have their excretion process altered in patients with abnormal kidney function. To date, there are no studies that assist health professionals in adjusting the dose of these drugs. Thus, this study aims to review and discuss the topic, taking into account factors associated with kidney injury in covid-19, as well as pharmacokinetic aspects and dose recommendations of the main drugs used for covid-19."
Chloroquine and Hydroxychloroquine for the Treatment of COVID-19: Review and Appraisal of Current Evidence.,"Novel severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) and associated coronavirus disease 19 (COVID-19) began ravaging most of the globe in November 2019. In the United States more than 25 million people have been infected with SARS-CoV-2. To date, COVID-19 has killed close to 400,000 U.S. citizens. In the face of limited pharmacotherapies, the current burden of SARS-CoV-2 and COVID-19 signals overwhelming sickness and trillions in healthcare costs ahead. The need to expeditiously identify safe and efficacious prophylaxis and treatment options is critical. Drug repositioning may be a promising strategy toward mitigating the impact of SARS-CoV-2 and COVID-19. This rapid review appraises available evidence on the viability of vintage antimalarial drugs chloroquine (CHQ) and its analog hydroxychloroquine (HCQ) repositioned for SARS-CoV-2 prophylaxis and COVID-19 treatment. Findings suggest neither the use of CHQ nor HCQ singularly, or concomitantly, with azithromycin and/or zinc provide definitive benefits for use against SARS-CoV-2 infection or COVID-19 illness. Moreover, administration of these medications was linked to significant and sometimes fatal complications."
